nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-7.2339e+05,-7.2340e+05,-1.9980e-03,-7.2340e+05,1.1750e-01,6.9098e+00,inf,2.6563e+03,-3.5468e-01,-1.8793e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-7.1681e+05,-7.1682e+05,-3.9960e-03,-7.1682e+05,1.1751e-01,6.9118e+00,5.4648e+05,2.6619e+03,-9.0571e-01,-1.2820e+00,6.9890e+00,1.1083e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-7.1043e+05,-7.1043e+05,-5.9940e-03,-7.1043e+05,1.1753e-01,6.9137e+00,5.3990e+05,2.6677e+03,-1.1894e+00,-1.3504e+00,6.9083e+00,1.3927e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-7.0421e+05,-7.0422e+05,-7.9920e-03,-7.0422e+05,1.1755e-01,6.9157e+00,5.3352e+05,2.6728e+03,-3.9506e-01,-1.7270e+00,6.8725e+00,1.3389e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-7.0344e+05,-7.0344e+05,-9.9900e-03,-7.0344e+05,1.1757e-01,6.9177e+00,5.2731e+05,2.6786e+03,-1.4813e+00,-1.0994e+00,6.8862e+00,1.1182e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-6.9542e+05,-6.9543e+05,-1.1988e-02,-6.9543e+05,1.1758e-01,6.9198e+00,5.2653e+05,2.6844e+03,-1.0965e+00,-1.3017e+00,6.7610e+00,1.7810e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-6.9509e+05,-6.9509e+05,-1.3986e-02,-6.9509e+05,1.1760e-01,6.9218e+00,5.1851e+05,2.6890e+03,-1.3322e+00,-1.8043e+00,6.7376e+00,1.9398e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-6.9236e+05,-6.9237e+05,-1.5984e-02,-6.9237e+05,1.1762e-01,6.9238e+00,5.1818e+05,2.6948e+03,-1.1131e+00,-1.2600e+00,6.7836e+00,1.0366e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-6.9072e+05,-6.9073e+05,-1.7982e-02,-6.9073e+05,1.1763e-01,6.9257e+00,5.1546e+05,2.7004e+03,-5.1007e-01,-1.1901e+00,6.7728e+00,1.2786e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-6.8922e+05,-6.8922e+05,-1.9980e-02,-6.8922e+05,1.1765e-01,6.9277e+00,5.1381e+05,2.7059e+03,-6.2538e-01,-1.4069e+00,6.7572e+00,1.1107e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-6.8888e+05,-6.8889e+05,-2.1978e-02,-6.8889e+05,1.1767e-01,6.9297e+00,5.1231e+05,2.7113e+03,-8.8663e-01,-1.9434e+00,6.6842e+00,1.8090e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-6.8858e+05,-6.8859e+05,-2.3976e-02,-6.8859e+05,1.1768e-01,6.9318e+00,5.1197e+05,2.7168e+03,-1.1422e+00,-1.9232e+00,6.6839e+00,1.6733e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-6.8781e+05,-6.8782e+05,-2.5974e-02,-6.8782e+05,1.1770e-01,6.9338e+00,5.1168e+05,2.7223e+03,-1.3876e+00,-1.7218e+00,6.6836e+00,1.6784e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-6.8699e+05,-6.8700e+05,-2.7972e-02,-6.8700e+05,1.1772e-01,6.9357e+00,5.1090e+05,2.7279e+03,-3.2406e-01,-1.9748e+00,6.9455e+00,1.5084e+00
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,-6.8579e+05,-6.8579e+05,-2.9970e-02,-6.8579e+05,1.1774e-01,6.9377e+00,5.1009e+05,2.7334e+03,2.2825e-03,-1.1343e+00,6.7711e+00,1.7603e+01
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,-6.8551e+05,-6.8551e+05,-3.1968e-02,-6.8551e+05,1.1775e-01,6.9397e+00,5.0888e+05,2.7391e+03,2.8377e-01,-1.1896e+00,6.8205e+00,1.9159e+01
2.0000e+03,1.7000e+01,1.0000e+00,3.2882e+00,-6.8503e+05,-6.8503e+05,-3.3966e-02,-6.8503e+05,1.1777e-01,6.9417e+00,5.0860e+05,2.7436e+03,8.1048e-02,-1.0079e+00,6.7940e+00,1.5860e+01
2.0000e+03,1.8000e+01,1.0000e+00,3.4749e+00,-6.8477e+05,-6.8478e+05,-3.5964e-02,-6.8478e+05,1.1779e-01,6.9437e+00,5.0812e+05,2.7481e+03,-1.4756e+00,-1.5430e+00,6.6588e+00,1.6936e+01
2.0000e+03,1.9000e+01,1.0000e+00,3.6609e+00,-6.8414e+05,-6.8415e+05,-3.7962e-02,-6.8415e+05,1.1780e-01,6.9457e+00,5.0786e+05,2.7534e+03,-3.9535e-01,-1.8143e+00,6.9049e+00,2.0091e+00
2.0000e+03,2.0000e+01,1.0000e+00,3.8462e+00,-6.8290e+05,-6.8290e+05,-3.9960e-02,-6.8290e+05,1.1782e-01,6.9477e+00,5.0723e+05,2.7597e+03,-3.0474e-01,-1.5771e+00,6.6674e+00,1.9880e+01
2.0000e+03,2.1000e+01,1.0000e+00,4.0307e+00,-6.8288e+05,-6.8289e+05,-4.1958e-02,-6.8289e+05,1.1784e-01,6.9496e+00,5.0599e+05,2.7653e+03,-1.2240e+00,-1.5972e+00,6.6565e+00,1.3496e+01
