niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-2.1267e+05,-2.1267e+05,-9.9950e-04,-2.1267e+05,8.7167e-02,7.6019e+00,inf,1.8792e+00,-4.3312e-01,-7.2163e-01,3.9639e+00,1.1660e+00,2.2269e+01
2.0000e+00,1.0000e+00,1.9960e-01,-2.1259e+05,-2.1260e+05,-1.9990e-03,-2.1260e+05,8.7173e-02,7.6029e+00,1.5496e+05,3.8420e+00,-4.9239e-01,-6.5549e-01,3.9939e+00,4.0494e+00,2.2181e+01
3.0000e+00,1.0000e+00,2.9910e-01,-2.1252e+05,-2.1252e+05,-2.9985e-03,-2.1252e+05,8.7179e-02,7.6039e+00,1.5489e+05,5.9915e+00,-9.0395e-02,-1.9914e+00,3.8850e+00,3.0657e+00,2.2039e+01
4.0000e+00,1.0000e+00,3.9841e-01,-2.1216e+05,-2.1217e+05,-3.9980e-03,-2.1217e+05,8.7184e-02,7.6049e+00,1.5481e+05,8.1392e+00,-5.8290e-02,-1.7157e+00,3.8890e+00,3.7592e-01,2.2312e+01
5.0000e+00,1.0000e+00,4.9751e-01,-2.1211e+05,-2.1211e+05,-4.9975e-03,-2.1211e+05,8.7190e-02,7.6059e+00,1.5446e+05,1.0292e+01,-4.6416e-01,-1.5017e+00,3.8309e+00,3.4530e+00,2.2203e+01
6.0000e+00,1.0000e+00,5.9642e-01,-2.1196e+05,-2.1197e+05,-5.9970e-03,-2.1197e+05,8.7196e-02,7.6069e+00,1.5440e+05,1.2749e+01,-4.4613e-01,-1.3225e+00,3.9550e+00,7.0732e-01,2.2716e+01
7.0000e+00,1.0000e+00,6.9513e-01,-2.1196e+05,-2.1196e+05,-6.9965e-03,-2.1196e+05,8.6174e-02,7.4297e+00,1.5426e+05,1.5222e+01,4.2498e-01,-1.2063e+00,3.9280e+00,2.7815e+00,2.2039e+01
8.0000e+00,1.0000e+00,7.9365e-01,-2.1194e+05,-2.1195e+05,-7.9960e-03,-2.1195e+05,8.7206e-02,7.6088e+00,1.5425e+05,1.7727e+01,1.2497e-01,-1.6482e+00,3.8859e+00,3.1286e+00,2.2077e+01
9.0000e+00,1.0000e+00,8.9197e-01,-2.1193e+05,-2.1194e+05,-8.9955e-03,-2.1194e+05,8.7212e-02,7.6098e+00,1.5424e+05,1.9906e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01,2.2178e+01
1.0000e+01,1.0000e+00,9.9010e-01,-2.1183e+05,-2.1184e+05,-9.9950e-03,-2.1184e+05,8.7219e-02,7.6109e+00,1.5423e+05,2.2140e+01,3.1429e-01,-1.2337e+00,3.9193e+00,1.0535e+00,2.2261e+01
1.1000e+01,1.0000e+00,1.0880e+00,-2.1177e+05,-2.1177e+05,-1.0995e-02,-2.1177e+05,8.7224e-02,7.6119e+00,1.5413e+05,2.4315e+01,-4.6133e-01,-9.8214e-01,3.7719e+00,2.1765e+00,2.2162e+01
1.2000e+01,1.0000e+00,1.1858e+00,-2.1165e+05,-2.1166e+05,-1.1994e-02,-2.1166e+05,8.7230e-02,7.6129e+00,1.5406e+05,2.6771e+01,-1.9096e-03,-1.3356e+00,3.7493e+00,1.8067e+00,2.2007e+01
1.3000e+01,1.0000e+00,1.2833e+00,-2.1152e+05,-2.1153e+05,-1.2994e-02,-2.1153e+05,8.7236e-02,7.6139e+00,1.5395e+05,2.9004e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00,2.2509e+01
1.4000e+01,1.0000e+00,1.3807e+00,-2.1151e+05,-2.1152e+05,-1.3993e-02,-2.1152e+05,8.7241e-02,7.6149e+00,1.5382e+05,3.1180e+01,1.2440e-01,-1.2441e+00,3.9334e+00,2.0008e+00,2.2489e+01
1.5000e+01,1.0000e+00,1.4778e+00,-2.1143e+05,-2.1144e+05,-1.4993e-02,-2.1144e+05,8.7247e-02,7.6159e+00,1.5381e+05,3.3697e+01,4.3557e-01,-1.5639e+00,3.8903e+00,3.6590e+00,2.2039e+01
1.6000e+01,1.0000e+00,1.5748e+00,-2.1117e+05,-2.1118e+05,-1.5992e-02,-2.1118e+05,8.7253e-02,7.6169e+00,1.5372e+05,3.5917e+01,-2.7672e-01,-1.1096e+00,3.9034e+00,2.5514e+00,2.2688e+01
1.7000e+01,1.0000e+00,1.6716e+00,-2.1117e+05,-2.1118e+05,-1.6992e-02,-2.1118e+05,8.0963e-02,6.5584e+00,1.5347e+05,3.8094e+01,3.4736e-01,-1.2669e+00,3.8465e+00,9.6774e-01,2.2326e+01
1.8000e+01,1.0000e+00,1.7682e+00,-2.1112e+05,-2.1113e+05,-1.7991e-02,-2.1113e+05,8.7264e-02,7.6189e+00,1.5347e+05,4.0614e+01,-1.5319e-01,-1.4705e+00,3.7134e+00,1.2890e+00,2.2213e+01
1.9000e+01,1.0000e+00,1.8646e+00,-2.1083e+05,-2.1084e+05,-1.8991e-02,-2.1084e+05,8.7270e-02,7.6199e+00,1.5342e+05,4.2816e+01,-3.0123e-01,-1.3341e+00,3.8119e+00,3.3900e+00,2.2489e+01
2.0000e+01,1.0000e+00,1.9608e+00,-2.1076e+05,-2.1077e+05,-1.9990e-02,-2.1077e+05,8.7276e-02,7.6209e+00,1.5313e+05,4.4888e+01,-3.6224e-01,-1.0565e+00,3.6293e+00,7.9690e-01,2.2115e+01
2.1000e+01,2.0000e+00,2.0548e+00,-2.1030e+05,-2.1031e+05,-2.0990e-02,-2.1031e+05,8.7282e-02,7.6219e+00,1.5306e+05,4.8890e+01,-3.4510e-01,-1.4300e+00,3.9567e+00,1.4258e+00,2.3360e+01
2.2000e+01,1.0000e+00,2.1505e+00,-2.1023e+05,-2.1024e+05,-2.1989e-02,-2.1024e+05,8.7287e-02,7.6229e+00,1.5260e+05,5.0719e+01,-3.6190e-02,-7.2310e-01,3.8229e+00,7.2998e-01,2.2623e+01
2.3000e+01,1.0000e+00,2.2461e+00,-2.1022e+05,-2.1022e+05,-2.2989e-02,-2.1022e+05,8.7293e-02,7.6239e+00,1.5253e+05,5.2855e+01,2.6727e-02,-1.0554e+00,3.7038e+00,3.2416e+00,2.2136e+01
2.4000e+01,1.0000e+00,2.3415e+00,-2.0999e+05,-2.1000e+05,-2.3988e-02,-2.1000e+05,8.7299e-02,7.6249e+00,1.5251e+05,5.4714e+01,-1.0829e-01,-7.6618e-01,3.9075e+00,9.9348e-01,2.3052e+01
2.5000e+01,1.0000e+00,2.4366e+00,-2.0996e+05,-2.0997e+05,-2.4988e-02,-2.0997e+05,8.7305e-02,7.6259e+00,1.5229e+05,5.6917e+01,-4.6069e-01,-1.3523e+00,3.6357e+00,2.1694e+00,2.2531e+01
2.6000e+01,1.0000e+00,2.5316e+00,-2.0996e+05,-2.0997e+05,-2.5987e-02,-2.0997e+05,8.1239e-02,6.6031e+00,1.5226e+05,5.9126e+01,4.1558e-01,-1.7334e+00,3.9553e+00,3.3065e+00,2.2852e+01
2.7000e+01,1.0000e+00,2.6265e+00,-2.0991e+05,-2.0992e+05,-2.6987e-02,-2.0992e+05,8.7316e-02,7.6279e+00,1.5226e+05,6.1670e+01,-7.8392e-02,-6.0175e-01,3.6691e+00,2.2814e+00,2.2175e+01
2.8000e+01,1.0000e+00,2.7211e+00,-2.0978e+05,-2.0978e+05,-2.7986e-02,-2.0978e+05,8.7322e-02,7.6289e+00,1.5221e+05,6.3904e+01,3.4606e-01,-1.7251e+00,3.7824e+00,6.0790e-01,2.2761e+01
2.9000e+01,1.0000e+00,2.8155e+00,-2.0962e+05,-2.0963e+05,-2.8986e-02,-2.0963e+05,8.7327e-02,7.6299e+00,1.5207e+05,6.5830e+01,6.9708e-02,-6.6599e-01,3.7954e+00,8.4669e-01,2.2714e+01
3.0000e+01,1.0000e+00,2.9098e+00,-2.0941e+05,-2.0942e+05,-2.9985e-02,-2.0942e+05,8.7333e-02,7.6309e+00,1.5192e+05,6.8075e+01,-3.0482e-01,-1.9139e+00,3.7869e+00,4.1703e+00,2.2954e+01
3.1000e+01,1.0000e+00,3.0039e+00,-2.0927e+05,-2.0928e+05,-3.0985e-02,-2.0928e+05,8.7339e-02,7.6319e+00,1.5171e+05,7.0450e+01,1.9635e-02,-1.6883e+00,3.6877e+00,1.1983e+00,2.2832e+01
3.2000e+01,1.0000e+00,3.0978e+00,-2.0920e+05,-2.0921e+05,-3.1984e-02,-2.0921e+05,8.7345e-02,7.6329e+00,1.5157e+05,7.2404e+01,3.1568e-01,-5.3953e-01,3.8015e+00,5.8500e-01,2.2711e+01
3.3000e+01,1.0000e+00,3.1915e+00,-2.0920e+05,-2.0921e+05,-3.2984e-02,-2.0921e+05,8.6775e-02,7.5336e+00,1.5150e+05,7.4670e+01,-3.4474e-01,-1.4585e+00,3.8877e+00,7.3778e-01,2.3637e+01
3.4000e+01,1.0000e+00,3.2850e+00,-2.0915e+05,-2.0916e+05,-3.3983e-02,-2.0916e+05,8.7356e-02,7.6349e+00,1.5150e+05,7.6656e+01,1.1361e-01,-8.0450e-01,3.8834e+00,5.4134e-01,2.3244e+01
3.5000e+01,1.0000e+00,3.3784e+00,-2.0907e+05,-2.0908e+05,-3.4983e-02,-2.0908e+05,8.7362e-02,7.6359e+00,1.5145e+05,7.9125e+01,-1.5971e-01,-1.2823e+00,3.9680e+00,7.0812e-01,2.3814e+01
3.6000e+01,2.0000e+00,3.4682e+00,-2.0905e+05,-2.0906e+05,-3.5982e-02,-2.0906e+05,8.7367e-02,7.6369e+00,1.5137e+05,8.3577e+01,4.2392e-01,-8.4390e-01,3.7391e+00,1.1449e+00,2.2746e+01
3.7000e+01,1.0000e+00,3.5611e+00,-2.0891e+05,-2.0892e+05,-3.6982e-02,-2.0892e+05,8.7373e-02,7.6379e+00,1.5135e+05,8.5885e+01,-3.6100e-01,-6.0656e-01,3.4675e+00,2.3534e+00,2.2059e+01
3.8000e+01,1.0000e+00,3.6538e+00,-2.0886e+05,-2.0886e+05,-3.7981e-02,-2.0886e+05,8.7379e-02,7.6389e+00,1.5121e+05,8.8212e+01,-2.1166e-01,-1.0022e+00,3.5595e+00,4.8103e+00,2.2227e+01
3.9000e+01,1.0000e+00,3.7464e+00,-2.0880e+05,-2.0881e+05,-3.8981e-02,-2.0881e+05,8.7385e-02,7.6399e+00,1.5115e+05,9.0259e+01,-2.4010e-01,-9.9983e-01,3.8009e+00,4.3191e+00,2.3059e+01
4.0000e+01,1.0000e+00,3.8388e+00,-2.0864e+05,-2.0864e+05,-3.9980e-02,-2.0864e+05,8.7390e-02,7.6409e+00,1.5110e+05,9.2322e+01,-2.4755e-02,-1.3556e+00,3.3838e+00,9.0649e-01,2.2096e+01
4.1000e+01,1.0000e+00,3.9310e+00,-2.0856e+05,-2.0857e+05,-4.0980e-02,-2.0857e+05,8.7396e-02,7.6419e+00,1.5093e+05,9.4482e+01,-4.0187e-01,-1.3427e+00,3.8687e+00,3.0382e-01,2.3865e+01
4.2000e+01,1.0000e+00,4.0230e+00,-2.0846e+05,-2.0847e+05,-4.1979e-02,-2.0847e+05,8.7402e-02,7.6429e+00,1.5086e+05,9.6528e+01,-1.7681e-01,-1.1143e+00,3.6347e+00,1.5066e+00,2.3038e+01
4.3000e+01,1.0000e+00,4.1148e+00,-2.0844e+05,-2.0844e+05,-4.2979e-02,-2.0844e+05,8.7407e-02,7.6439e+00,1.5076e+05,9.8901e+01,2.3327e-01,-1.9017e+00,3.5388e+00,4.3129e+00,2.2190e+01
4.4000e+01,1.0000e+00,4.2065e+00,-2.0829e+05,-2.0829e+05,-4.3978e-02,-2.0829e+05,8.7413e-02,7.6449e+00,1.5073e+05,1.0070e+02,1.0599e-01,-5.5281e-01,3.9190e+00,4.6571e+00,2.3108e+01
4.5000e+01,1.0000e+00,4.2980e+00,-2.0820e+05,-2.0821e+05,-4.4978e-02,-2.0821e+05,8.7419e-02,7.6459e+00,1.5058e+05,1.0317e+02,2.0771e-01,-6.1074e-01,3.7476e+00,1.6964e+00,2.3091e+01
4.6000e+01,1.0000e+00,4.3893e+00,-2.0818e+05,-2.0819e+05,-4.5977e-02,-2.0819e+05,8.7425e-02,7.6469e+00,1.5050e+05,1.0534e+02,1.1721e-02,-7.3458e-01,3.9839e+00,3.1907e+00,2.3713e+01
4.7000e+01,1.0000e+00,4.4805e+00,-2.0813e+05,-2.0814e+05,-4.6977e-02,-2.0814e+05,8.7430e-02,7.6479e+00,1.5048e+05,1.0754e+02,4.2791e-02,-1.2576e+00,3.5032e+00,1.6090e+00,2.2684e+01
4.8000e+01,1.0000e+00,4.5714e+00,-2.0809e+05,-2.0810e+05,-4.7976e-02,-2.0810e+05,8.7436e-02,7.6489e+00,1.5043e+05,1.0971e+02,3.8739e-01,-1.9449e+00,3.8540e+00,7.2669e-01,2.3746e+01
4.9000e+01,1.0000e+00,4.6622e+00,-2.0803e+05,-2.0803e+05,-4.8976e-02,-2.0803e+05,8.7442e-02,7.6499e+00,1.5039e+05,1.1182e+02,-1.6999e-01,-1.0900e+00,3.5554e+00,3.1770e+00,2.2708e+01
5.0000e+01,1.0000e+00,4.7529e+00,-2.0802e+05,-2.0802e+05,-4.9975e-02,-2.0802e+05,8.7435e-02,7.6487e+00,1.5032e+05,1.1393e+02,-3.6822e-01,-6.0923e-01,3.5695e+00,2.0244e+00,2.2843e+01
5.1000e+01,1.0000e+00,4.8433e+00,-2.0794e+05,-2.0794e+05,-5.0975e-02,-2.0794e+05,8.7453e-02,7.6519e+00,1.5031e+05,1.1626e+02,-2.8477e-01,-1.9724e+00,3.6575e+00,6.4490e-01,2.3512e+01
5.2000e+01,1.0000e+00,4.9336e+00,-2.0792e+05,-2.0793e+05,-5.1974e-02,-2.0793e+05,8.7459e-02,7.6529e+00,1.5023e+05,1.1871e+02,-4.4231e-01,-1.3243e+00,3.4323e+00,4.1775e+00,2.2401e+01
5.3000e+01,2.0000e+00,5.0189e+00,-2.0790e+05,-2.0791e+05,-5.2974e-02,-2.0791e+05,8.7465e-02,7.6539e+00,1.5022e+05,1.2308e+02,3.0572e-01,-1.2736e+00,3.6917e+00,8.4589e-01,2.3318e+01
5.4000e+01,1.0000e+00,5.1088e+00,-2.0789e+05,-2.0790e+05,-5.3973e-02,-2.0790e+05,8.7463e-02,7.6536e+00,1.5020e+05,1.2514e+02,4.3391e-01,-1.3619e+00,3.4590e+00,6.4678e-01,2.2558e+01
5.5000e+01,1.0000e+00,5.1985e+00,-2.0789e+05,-2.0790e+05,-5.4973e-02,-2.0790e+05,8.6003e-02,7.4003e+00,1.5019e+05,1.2760e+02,4.4089e-02,-8.4878e-01,3.9290e+00,3.7904e+00,2.3645e+01
5.6000e+01,1.0000e+00,5.2880e+00,-2.0788e+05,-2.0789e+05,-5.5972e-02,-2.0789e+05,8.7402e-02,7.6429e+00,1.5019e+05,1.3012e+02,-4.7823e-01,-1.3275e+00,3.7328e+00,3.9018e+00,2.3495e+01
5.7000e+01,1.0000e+00,5.3774e+00,-2.0782e+05,-2.0783e+05,-5.6972e-02,-2.0783e+05,8.7487e-02,7.6579e+00,1.5018e+05,1.3264e+02,-1.8221e-01,-1.4949e+00,3.3121e+00,2.3823e+00,2.2166e+01
5.8000e+01,1.0000e+00,5.4665e+00,-2.0781e+05,-2.0782e+05,-5.7971e-02,-2.0782e+05,8.7493e-02,7.6589e+00,1.5012e+05,1.3486e+02,-1.6220e-01,-8.6288e-01,3.5881e+00,4.6063e+00,2.2643e+01
5.9000e+01,1.0000e+00,5.5556e+00,-2.0781e+05,-2.0781e+05,-5.8971e-02,-2.0781e+05,8.2312e-02,6.7786e+00,1.5010e+05,1.3673e+02,-4.9118e-01,-1.0704e+00,3.7809e+00,1.1417e+00,2.3933e+01
6.0000e+01,1.0000e+00,5.6444e+00,-2.0777e+05,-2.0778e+05,-5.9970e-02,-2.0778e+05,8.7505e-02,7.6609e+00,1.5010e+05,1.3895e+02,-4.7737e-01,-1.6808e+00,3.3156e+00,3.3988e+00,2.2230e+01
6.1000e+01,1.0000e+00,5.7331e+00,-2.0767e+05,-2.0768e+05,-6.0970e-02,-2.0768e+05,8.7510e-02,7.6619e+00,1.5007e+05,1.4144e+02,-4.4698e-01,-1.5594e+00,3.6940e+00,1.8274e+00,2.3804e+01
6.2000e+01,1.0000e+00,5.8216e+00,-2.0766e+05,-2.0767e+05,-6.1969e-02,-2.0767e+05,8.7447e-02,7.6508e+00,1.4997e+05,1.4375e+02,-1.5870e-01,-1.6893e+00,3.6478e+00,4.1249e+00,2.3131e+01
6.3000e+01,1.0000e+00,5.9099e+00,-2.0762e+05,-2.0763e+05,-6.2969e-02,-2.0763e+05,8.7522e-02,7.6639e+00,1.4996e+05,1.4626e+02,-1.0998e-01,-1.5993e+00,3.5054e+00,4.5082e+00,2.2610e+01
6.4000e+01,1.0000e+00,5.9981e+00,-2.0759e+05,-2.0760e+05,-6.3968e-02,-2.0760e+05,8.7527e-02,7.6649e+00,1.4992e+05,1.4813e+02,3.9050e-01,-1.6027e+00,3.8431e+00,4.6651e+00,2.3358e+01
6.5000e+01,1.0000e+00,6.0861e+00,-2.0756e+05,-2.0757e+05,-6.4968e-02,-2.0757e+05,8.7533e-02,7.6659e+00,1.4989e+05,1.5027e+02,2.8242e-01,-1.4763e+00,3.3742e+00,3.6927e-01,2.2469e+01
6.6000e+01,1.0000e+00,6.1740e+00,-2.0755e+05,-2.0756e+05,-6.5967e-02,-2.0756e+05,8.7534e-02,7.6661e+00,1.4986e+05,1.5210e+02,-6.9539e-02,-7.3622e-01,3.5659e+00,2.0307e+00,2.3000e+01
6.7000e+01,1.0000e+00,6.2617e+00,-2.0754e+05,-2.0755e+05,-6.6967e-02,-2.0755e+05,8.7542e-02,7.6674e+00,1.4985e+05,1.5455e+02,-1.7475e-02,-1.8654e+00,3.5498e+00,1.5669e+00,2.3209e+01
6.8000e+01,1.0000e+00,6.3492e+00,-2.0745e+05,-2.0746e+05,-6.7966e-02,-2.0746e+05,8.7550e-02,7.6689e+00,1.4983e+05,1.5701e+02,-6.5871e-02,-1.8513e+00,3.2829e+00,3.0298e-01,2.2321e+01
6.9000e+01,1.0000e+00,6.4366e+00,-2.0740e+05,-2.0741e+05,-6.8966e-02,-2.0741e+05,8.7556e-02,7.6699e+00,1.4975e+05,1.5947e+02,-1.9115e-01,-1.4485e+00,3.4083e+00,9.8419e-01,2.2826e+01
7.0000e+01,1.0000e+00,6.5238e+00,-2.0739e+05,-2.0740e+05,-6.9965e-02,-2.0740e+05,8.7561e-02,7.6708e+00,1.4970e+05,1.6165e+02,4.7406e-01,-8.6868e-01,3.7917e+00,2.8474e-01,2.3715e+01
7.1000e+01,1.0000e+00,6.6108e+00,-2.0731e+05,-2.0732e+05,-7.0965e-02,-2.0732e+05,8.7567e-02,7.6719e+00,1.4969e+05,1.6380e+02,2.8063e-01,-7.6776e-01,3.8835e+00,3.0888e+00,2.3740e+01
7.2000e+01,1.0000e+00,6.6977e+00,-2.0728e+05,-2.0729e+05,-7.1964e-02,-2.0729e+05,8.7573e-02,7.6729e+00,1.4961e+05,1.6595e+02,-3.3289e-01,-1.6461e+00,3.8771e+00,2.9529e+00,2.4346e+01
7.3000e+01,1.0000e+00,6.7844e+00,-2.0728e+05,-2.0729e+05,-7.2964e-02,-2.0729e+05,8.1726e-02,6.6824e+00,1.4958e+05,1.6854e+02,-4.9160e-01,-1.2927e+00,3.6311e+00,4.6236e+00,2.3389e+01
7.4000e+01,1.0000e+00,6.8709e+00,-2.0727e+05,-2.0728e+05,-7.3963e-02,-2.0728e+05,8.7426e-02,7.6471e+00,1.4958e+05,1.7069e+02,-2.0659e-01,-1.9155e+00,3.8364e+00,3.2790e+00,2.4073e+01
7.5000e+01,1.0000e+00,6.9573e+00,-2.0727e+05,-2.0728e+05,-7.4963e-02,-2.0728e+05,8.1740e-02,6.6848e+00,1.4957e+05,1.7255e+02,3.4602e-01,-1.2900e+00,3.7564e+00,1.2074e+00,2.3825e+01
7.6000e+01,1.0000e+00,7.0436e+00,-2.0719e+05,-2.0720e+05,-7.5962e-02,-2.0720e+05,8.7596e-02,7.6769e+00,1.4957e+05,1.7468e+02,-4.9066e-01,-1.0081e+00,3.4403e+00,4.6404e+00,2.2656e+01
7.7000e+01,1.0000e+00,7.1296e+00,-2.0717e+05,-2.0718e+05,-7.6962e-02,-2.0718e+05,8.7602e-02,7.6779e+00,1.4949e+05,1.7681e+02,-2.0136e-01,-7.0759e-01,3.7645e+00,3.8661e+00,2.3567e+01
7.8000e+01,1.0000e+00,7.2155e+00,-2.0716e+05,-2.0717e+05,-7.7961e-02,-2.0717e+05,8.7602e-02,7.6780e+00,1.4947e+05,1.7896e+02,-2.3835e-01,-6.5996e-01,3.5561e+00,1.3821e+00,2.3241e+01
7.9000e+01,1.0000e+00,7.3013e+00,-2.0708e+05,-2.0709e+05,-7.8961e-02,-2.0709e+05,8.7613e-02,7.6799e+00,1.4946e+05,1.8111e+02,-2.4939e-01,-1.1255e+00,3.5888e+00,1.3077e+00,2.3576e+01
8.0000e+01,1.0000e+00,7.3869e+00,-2.0708e+05,-2.0709e+05,-7.9960e-02,-2.0709e+05,8.6504e-02,7.4867e+00,1.4938e+05,1.8331e+02,-4.4786e-01,-1.8609e+00,3.7175e+00,9.2394e-01,2.4177e+01
8.1000e+01,1.0000e+00,7.4723e+00,-2.0701e+05,-2.0702e+05,-8.0960e-02,-2.0702e+05,8.7624e-02,7.6819e+00,1.4938e+05,1.8543e+02,-1.3348e-01,-1.9013e+00,3.4695e+00,2.6107e+00,2.3061e+01
8.2000e+01,1.0000e+00,7.5576e+00,-2.0701e+05,-2.0701e+05,-8.1959e-02,-2.0701e+05,8.1845e-02,6.7020e+00,1.4930e+05,1.8727e+02,1.3834e-01,-1.8740e+00,3.5851e+00,3.3989e+00,2.3142e+01
8.3000e+01,1.0000e+00,7.6427e+00,-2.0700e+05,-2.0700e+05,-8.2959e-02,-2.0700e+05,8.7632e-02,7.6832e+00,1.4930e+05,1.8977e+02,-7.3785e-02,-1.2170e+00,3.8669e+00,2.6226e+00,2.4251e+01
8.4000e+01,1.0000e+00,7.7277e+00,-2.0696e+05,-2.0697e+05,-8.3958e-02,-2.0697e+05,8.7641e-02,7.6849e+00,1.4929e+05,1.9167e+02,3.5323e-02,-1.0850e+00,3.6286e+00,2.1088e+00,2.3568e+01
8.5000e+01,1.0000e+00,7.8125e+00,-2.0694e+05,-2.0695e+05,-8.4958e-02,-2.0695e+05,8.7647e-02,7.6859e+00,1.4925e+05,1.9416e+02,-2.9238e-01,-1.9174e+00,3.3323e+00,9.2692e-01,2.2857e+01
8.6000e+01,2.0000e+00,7.8899e+00,-2.0687e+05,-2.0688e+05,-8.5957e-02,-2.0688e+05,8.7653e-02,7.6869e+00,1.4924e+05,1.9851e+02,-3.3677e-01,-1.4398e+00,3.6749e+00,2.5477e+00,2.3972e+01
8.7000e+01,1.0000e+00,7.9743e+00,-2.0685e+05,-2.0685e+05,-8.6957e-02,-2.0685e+05,8.7659e-02,7.6879e+00,1.4917e+05,2.0069e+02,-9.9454e-02,-1.2134e+00,3.8571e+00,3.5805e+00,2.4146e+01
8.8000e+01,1.0000e+00,8.0586e+00,-2.0675e+05,-2.0675e+05,-8.7956e-02,-2.0675e+05,8.7664e-02,7.6889e+00,1.4914e+05,2.0284e+02,1.1440e-01,-7.9412e-01,3.4467e+00,2.4732e+00,2.2764e+01
8.9000e+01,1.0000e+00,8.1427e+00,-2.0674e+05,-2.0674e+05,-8.8956e-02,-2.0674e+05,8.7631e-02,7.6830e+00,1.4904e+05,2.0493e+02,-2.3808e-01,-8.0434e-01,3.4187e+00,2.8529e+00,2.2826e+01
9.0000e+01,1.0000e+00,8.2267e+00,-2.0672e+05,-2.0673e+05,-8.9955e-02,-2.0673e+05,8.7676e-02,7.6909e+00,1.4903e+05,2.0713e+02,5.9448e-02,-1.8590e+00,3.4761e+00,2.6035e+00,2.3141e+01
9.1000e+01,1.0000e+00,8.3105e+00,-2.0672e+05,-2.0673e+05,-9.0955e-02,-2.0673e+05,8.2131e-02,6.7489e+00,1.4902e+05,2.0929e+02,3.1035e-01,-5.5385e-01,3.8943e+00,2.9967e+00,2.3869e+01
9.2000e+01,1.0000e+00,8.3942e+00,-2.0671e+05,-2.0672e+05,-9.1954e-02,-2.0672e+05,8.7471e-02,7.6550e+00,1.4902e+05,2.1149e+02,-3.0657e-01,-8.8993e-01,3.8918e+00,2.6279e+00,2.4580e+01
9.3000e+01,1.0000e+00,8.4777e+00,-2.0662e+05,-2.0663e+05,-9.2954e-02,-2.0663e+05,8.7693e-02,7.6939e+00,1.4901e+05,2.1399e+02,5.9332e-02,-1.5066e+00,3.5815e+00,1.3013e+00,2.3728e+01
9.4000e+01,1.0000e+00,8.5610e+00,-2.0662e+05,-2.0663e+05,-9.3953e-02,-2.0663e+05,8.2491e-02,6.8082e+00,1.4892e+05,2.1618e+02,1.3884e-01,-7.9240e-01,3.3634e+00,2.5335e+00,2.2518e+01
9.5000e+01,1.0000e+00,8.6442e+00,-2.0657e+05,-2.0658e+05,-9.4953e-02,-2.0658e+05,8.7704e-02,7.6959e+00,1.4892e+05,2.1858e+02,-1.2658e-01,-1.9814e+00,3.8048e+00,4.3791e+00,2.4110e+01
9.6000e+01,1.0000e+00,8.7273e+00,-2.0650e+05,-2.0650e+05,-9.5952e-02,-2.0650e+05,8.7710e-02,7.6969e+00,1.4887e+05,2.2056e+02,-3.4860e-01,-1.4972e+00,3.1439e+00,4.5938e-01,2.2330e+01
9.7000e+01,1.0000e+00,8.8102e+00,-2.0646e+05,-2.0647e+05,-9.6952e-02,-2.0647e+05,8.7715e-02,7.6979e+00,1.4879e+05,2.2257e+02,3.2707e-01,-1.2104e+00,3.1087e+00,1.0220e+00,2.2000e+01
9.8000e+01,1.0000e+00,8.8929e+00,-2.0638e+05,-2.0639e+05,-9.7951e-02,-2.0639e+05,8.7721e-02,7.6989e+00,1.4876e+05,2.2488e+02,-4.9776e-01,-1.4228e+00,3.8656e+00,4.8421e+00,2.4573e+01
9.9000e+01,1.0000e+00,8.9755e+00,-2.0636e+05,-2.0637e+05,-9.8951e-02,-2.0637e+05,8.7727e-02,7.6998e+00,1.4868e+05,2.2718e+02,-3.3828e-01,-5.7055e-01,3.8138e+00,4.6996e+00,2.4019e+01
1.0000e+02,1.0000e+00,9.0580e+00,-2.0629e+05,-2.0630e+05,-9.9950e-02,-2.0630e+05,8.7733e-02,7.7009e+00,1.4866e+05,2.2955e+02,-8.6398e-02,-1.1300e+00,3.9724e+00,3.6093e+00,2.4787e+01
1.0100e+02,1.0000e+00,9.1403e+00,-2.0624e+05,-2.0625e+05,-1.0095e-01,-2.0625e+05,8.7738e-02,7.7019e+00,1.4859e+05,2.3131e+02,-3.9525e-01,-8.2615e-01,3.9430e+00,3.1324e+00,2.4901e+01
1.0200e+02,1.0000e+00,9.2224e+00,-2.0606e+05,-2.0606e+05,-1.0195e-01,-2.0606e+05,8.7744e-02,7.7029e+00,1.4854e+05,2.3303e+02,1.7283e-01,-1.8688e+00,3.7174e+00,3.9341e+00,2.3904e+01
1.0300e+02,1.0000e+00,9.3044e+00,-2.0605e+05,-2.0606e+05,-1.0295e-01,-2.0606e+05,8.7707e-02,7.6964e+00,1.4835e+05,2.3475e+02,2.6203e-01,-1.3743e+00,3.4433e+00,2.1718e+00,2.3347e+01
1.0400e+02,1.0000e+00,9.3863e+00,-2.0604e+05,-2.0605e+05,-1.0395e-01,-2.0605e+05,8.7754e-02,7.7046e+00,1.4835e+05,2.3678e+02,2.5674e-01,-1.9618e+00,3.2802e+00,2.1865e+00,2.2784e+01
