nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.0000e+300,-1.0000e+300,-1.9803e-02,-1.0000e+300,,-1.9608e+298,inf,4.6009e-01,2.0780e-01,-1.4259e+00,2.3461e+00,7.2170e-02
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-1.0000e+300,-1.0000e+300,-3.9605e-02,-1.0000e+300,,-3.8831e+298,inf,8.9980e-01,-5.4887e-01,-1.3112e+00,3.2818e+00,9.6426e-03
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-8.2667e+07,-8.2667e+07,-5.9408e-02,-8.2667e+07,0.0000e+00,4.8796e+00,inf,1.3352e+00,2.8111e-01,-5.3470e-02,3.1868e+00,1.9286e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-2.2980e+07,-2.2980e+07,-7.9211e-02,-2.2980e+07,,4.6832e+00,inf,1.7742e+00,-8.6633e-01,-8.6380e-01,3.7383e+00,2.4894e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-2.1810e+07,-2.1810e+07,-9.9013e-02,-2.1810e+07,,4.7265e+00,inf,2.2186e+00,-1.3305e+00,-1.3340e+00,3.4569e+00,1.3948e-01
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-2.1181e+07,-2.1181e+07,-1.1882e-01,-2.1181e+07,,4.6895e+00,inf,2.6660e+00,-1.2719e+00,-9.8380e-02,2.6514e+00,5.4895e-01
2.0000e+03,6.0000e+00,7.0000e+00,1.2281e+01,-1.9242e+07,-1.9242e+07,-1.3862e-01,-1.9242e+07,,4.7331e+00,inf,3.1069e+00,-5.8438e-01,-1.5919e-01,3.7581e+00,1.0209e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.3793e+01,-1.8619e+07,-1.8619e+07,-1.5842e-01,-1.8619e+07,,4.7733e+00,inf,3.5448e+00,-1.0965e+00,-6.0341e-01,3.9044e+00,6.1197e+00
2.0000e+03,8.0000e+00,1.0000e+01,1.5000e+01,-1.7331e+07,-1.7331e+07,-1.7822e-01,-1.7331e+07,,4.8110e+00,inf,4.4505e+00,-4.4355e-01,-9.7142e-02,2.9607e+00,3.0205e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-1.6136e+07,-1.6136e+07,-1.9803e-01,-1.6136e+07,,4.8162e+00,inf,4.8874e+00,-8.0398e-01,-1.6348e+00,3.8036e+00,4.6522e+00
2.0000e+03,1.0000e+01,1.2000e+01,1.7742e+01,-1.5847e+07,-1.5847e+07,-2.1783e-01,-1.5847e+07,,4.8232e+00,inf,5.3492e+00,-3.9506e-01,-1.4539e+00,3.9490e+00,4.3423e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.9048e+01,-1.5179e+07,-1.5179e+07,-2.3763e-01,-1.5179e+07,,4.8311e+00,inf,5.7886e+00,-1.4813e+00,-1.9870e-01,3.9545e+00,3.4552e+00
2.0000e+03,1.2000e+01,1.4000e+01,2.0312e+01,-1.3892e+07,-1.3892e+07,-2.5743e-01,-1.3892e+07,,4.8668e+00,inf,6.2288e+00,-7.5315e-01,-1.9752e+00,3.8438e+00,5.9862e+00
2.0000e+03,1.3000e+01,1.5000e+01,2.1538e+01,-1.2441e+07,-1.2441e+07,-2.7724e-01,-1.2441e+07,,4.8763e+00,inf,6.6942e+00,-1.2521e+00,-1.7612e+00,3.4770e+00,3.6984e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.2727e+01,-1.1011e+07,-1.1011e+07,-2.9704e-01,-1.1011e+07,2.4005e-02,4.9087e+00,inf,7.1585e+00,4.1628e-01,-2.4813e-01,2.7156e+00,3.0080e+00
2.0000e+03,1.5000e+01,1.7000e+01,2.3881e+01,-9.8583e+06,-9.8583e+06,-3.1684e-01,-9.8583e+06,2.8303e-02,4.9200e+00,inf,7.6036e+00,-6.2621e-01,-7.7570e-01,3.8364e+00,4.0059e+00
2.0000e+03,1.6000e+01,1.8000e+01,2.5000e+01,-9.3815e+06,-9.3815e+06,-3.3664e-01,-9.3815e+06,3.7344e-02,4.9500e+00,inf,8.0443e+00,-7.5611e-01,-3.4460e-01,3.8023e+00,2.4184e+00
2.0000e+03,1.7000e+01,1.9000e+01,2.6087e+01,-8.9565e+06,-8.9565e+06,-3.5645e-01,-8.9565e+06,4.0491e-02,4.9623e+00,inf,8.4870e+00,8.1048e-02,-1.5837e-02,3.9176e+00,5.3357e+00
2.0000e+03,1.8000e+01,2.1000e+01,2.6761e+01,-8.5859e+06,-8.5859e+06,-3.7625e-01,-8.5859e+06,4.3554e-02,4.9753e+00,inf,9.3631e+00,4.8713e-01,-3.6259e-01,3.0902e+00,2.6100e+00
2.0000e+03,1.9000e+01,2.2000e+01,2.7778e+01,-6.5715e+06,-6.5715e+06,-3.9605e-01,-6.5715e+06,4.9569e-02,5.0036e+00,inf,9.8300e+00,-9.8869e-01,-1.7834e+00,3.5524e+00,5.2598e+00
2.0000e+03,2.0000e+01,2.3000e+01,2.8767e+01,-6.2903e+06,-6.2903e+06,-4.1586e-01,-6.2903e+06,5.2430e-02,5.0184e+00,inf,1.0273e+01,-5.0420e-02,-5.6664e-01,2.0822e+00,2.5159e+00
2.0000e+03,2.1000e+01,2.7000e+01,2.8571e+01,-5.0984e+06,-5.0984e+06,-4.3566e-01,-5.0984e+06,5.6262e-02,5.0394e+00,inf,1.1585e+01,-3.6678e-01,-9.7199e-01,3.7377e+00,4.7628e+00
2.0000e+03,2.2000e+01,2.8000e+01,2.9487e+01,-4.2993e+06,-4.2993e+06,-4.5546e-01,-4.2993e+06,5.9784e-02,5.0600e+00,inf,1.2030e+01,-1.4162e+00,-1.6516e+00,3.1308e+00,3.8313e-01
2.0000e+03,2.3000e+01,2.9000e+01,3.0380e+01,-4.2303e+06,-4.2303e+06,-4.7526e-01,-4.2303e+06,6.3074e-02,5.0805e+00,inf,1.2469e+01,-4.9383e-01,-1.9725e+00,3.5457e+00,6.0611e+00
2.0000e+03,2.4000e+01,3.1000e+01,3.0864e+01,-4.1101e+06,-4.1101e+06,-4.9507e-01,-4.1101e+06,6.6198e-02,5.1008e+00,inf,1.3380e+01,-4.2624e-01,-3.6160e-01,2.1142e+00,4.3554e+00
2.0000e+03,2.5000e+01,3.3000e+01,3.1325e+01,-3.9582e+06,-3.9582e+06,-5.1487e-01,-3.9582e+06,6.8909e-02,5.1193e+00,inf,1.4255e+01,-2.9133e-01,-1.7938e+00,3.6047e+00,6.5644e+00
2.0000e+03,2.6000e+01,3.7000e+01,3.1034e+01,-3.9533e+06,-3.9533e+06,-5.3467e-01,-3.9533e+06,7.1776e-02,5.1397e+00,inf,1.5589e+01,2.1375e-01,-6.7051e-01,2.6668e+00,3.1452e+00
2.0000e+03,2.7000e+01,3.9000e+01,3.1461e+01,-3.8248e+06,-3.8248e+06,-5.5447e-01,-3.8248e+06,7.4531e-02,5.1601e+00,inf,1.6469e+01,-2.5445e-01,-1.0126e+00,3.6811e+00,4.6968e+00
2.0000e+03,2.8000e+01,4.2000e+01,3.1522e+01,-3.2862e+06,-3.2862e+06,-5.7428e-01,-3.2862e+06,7.6973e-02,5.1787e+00,inf,1.7372e+01,-1.1571e+00,-5.2583e-01,2.2541e+00,1.9572e+00
2.0000e+03,2.9000e+01,4.4000e+01,3.1915e+01,-2.9244e+06,-2.9244e+06,-5.9408e-01,-2.9244e+06,7.9541e-02,5.1990e+00,inf,1.8252e+01,-8.5381e-01,-2.5715e-01,2.4313e+00,4.8796e+00
