nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-3.2248e+05,-3.2249e+05,-3.3278e-03,-3.2249e+05,1.4594e-01,6.4003e+00,inf,9.0977e+00,-7.8319e-01,-1.9886e+00,4.8161e+00,6.0920e+00,2.5033e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-3.0560e+05,-3.0561e+05,-6.6556e-03,-3.0561e+05,1.4598e-01,6.4036e+00,3.1776e+05,1.8809e+01,1.1872e-01,-9.4174e-01,4.8847e+00,5.5178e+00,2.5032e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-2.8925e+05,-2.8925e+05,-9.9834e-03,-2.8925e+05,1.4602e-01,6.4069e+00,3.0088e+05,2.8142e+01,-1.4836e+00,-1.9870e-01,4.9090e+00,5.6133e+00,2.5424e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-2.8017e+05,-2.8018e+05,-1.3311e-02,-2.8018e+05,1.4605e-01,6.4102e+00,2.8452e+05,3.7483e+01,-1.1521e+00,-1.1121e+00,4.6991e+00,6.7472e+00,2.5408e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-2.7499e+05,-2.7500e+05,-1.6639e-02,-2.7500e+05,1.4609e-01,6.4136e+00,2.7545e+05,4.6603e+01,-1.4057e+00,-1.0967e+00,4.9280e+00,1.3270e+00,2.5597e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-2.6217e+05,-2.6217e+05,-1.9967e-02,-2.6217e+05,1.4613e-01,6.4169e+00,2.7027e+05,5.6172e+01,-5.7823e-01,-7.4055e-01,4.5261e+00,6.4473e+00,2.5113e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-2.5788e+05,-2.5789e+05,-2.3295e-02,-2.5789e+05,1.4617e-01,6.4202e+00,2.5898e+05,6.5500e+01,-1.1584e+00,-1.8852e+00,4.6590e+00,8.3236e+00,2.5795e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-2.5274e+05,-2.5275e+05,-2.6622e-02,-2.5275e+05,1.4621e-01,6.4236e+00,2.5469e+05,7.5070e+01,-4.3952e-01,-7.0407e-02,4.8704e+00,9.3073e+00,2.5923e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-2.3808e+05,-2.3809e+05,-2.9950e-02,-2.3809e+05,1.4624e-01,6.4269e+00,2.4955e+05,8.4297e+01,-6.0449e-01,-3.1277e-01,4.9742e+00,6.3445e+00,2.6427e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-2.2621e+05,-2.2621e+05,-3.3278e-02,-2.2621e+05,1.4628e-01,6.4302e+00,2.3489e+05,9.3769e+01,-7.6219e-01,-1.3567e-01,4.4705e+00,4.5072e+00,2.5146e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-2.2497e+05,-2.2498e+05,-3.6606e-02,-2.2498e+05,1.4632e-01,6.4335e+00,2.2302e+05,1.0312e+02,-1.4312e+00,-1.1364e+00,4.4171e+00,4.2811e+00,2.5442e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-2.1601e+05,-2.1602e+05,-3.9933e-02,-2.1602e+05,1.4636e-01,6.4369e+00,2.2178e+05,1.1305e+02,-1.4619e+00,-1.1033e+00,4.5725e+00,7.7812e+00,2.6246e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-2.1228e+05,-2.1229e+05,-4.3261e-02,-2.1229e+05,1.4640e-01,6.4402e+00,2.1283e+05,1.2237e+02,-1.2283e+00,-1.2780e+00,4.8203e+00,1.3886e+00,2.6364e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-2.0746e+05,-2.0746e+05,-4.6589e-02,-2.0746e+05,1.4643e-01,6.4435e+00,2.0909e+05,1.3155e+02,-1.3390e-01,-3.5701e-01,4.8136e+00,6.1386e+00,2.6450e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-2.0451e+05,-2.0451e+05,-4.9917e-02,-2.0451e+05,1.4647e-01,6.4468e+00,2.0427e+05,1.3915e+02,-5.9064e-01,-1.5844e+00,4.5004e+00,2.3191e+00,2.5693e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-2.0445e+05,-2.0446e+05,-5.3245e-02,-2.0446e+05,1.4651e-01,6.4502e+00,2.0132e+05,1.4834e+02,-8.4651e-01,-1.9752e+00,4.6876e+00,8.7454e+00,2.6759e+01
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-2.0306e+05,-2.0306e+05,-5.6572e-02,-2.0306e+05,1.4655e-01,6.4535e+00,2.0126e+05,1.5782e+02,-9.2249e-01,-7.8665e-01,4.2886e+00,6.3169e+00,2.5590e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-2.0269e+05,-2.0270e+05,-5.9900e-02,-2.0270e+05,1.4658e-01,6.4568e+00,1.9987e+05,1.6729e+02,-1.4853e+00,-1.0569e+00,4.4097e+00,9.2395e+00,2.6157e+01
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-2.0184e+05,-2.0185e+05,-6.3228e-02,-2.0185e+05,1.4662e-01,6.4602e+00,1.9950e+05,1.7663e+02,-9.7738e-01,-2.7678e-01,4.6232e+00,7.7090e+00,2.6306e+01
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-1.9270e+05,-1.9271e+05,-6.6556e-02,-1.9271e+05,1.4666e-01,6.4635e+00,1.9865e+05,1.8452e+02,-8.1882e-02,-7.1798e-02,4.8309e+00,5.9525e+00,2.6558e+01
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-1.9010e+05,-1.9011e+05,-6.9884e-02,-1.9011e+05,1.4670e-01,6.4668e+00,1.8951e+05,1.9384e+02,-3.2255e-01,-1.8251e+00,4.5479e+00,7.8464e+00,2.6587e+01
2.0000e+03,2.2000e+01,1.0000e+00,6.8323e+00,-1.8644e+05,-1.8645e+05,-7.3211e-02,-1.8645e+05,1.4674e-01,6.4701e+00,1.8691e+05,2.0326e+02,-9.3441e-01,-8.1904e-01,4.4156e+00,2.9419e+00,2.5865e+01
2.0000e+03,2.3000e+01,1.0000e+00,7.1207e+00,-1.8174e+05,-1.8175e+05,-7.6539e-02,-1.8175e+05,1.4677e-01,6.4735e+00,1.8325e+05,2.1107e+02,-1.1615e+00,-5.1990e-01,4.8269e+00,5.2074e+00,2.7150e+01
2.0000e+03,2.4000e+01,1.0000e+00,7.4074e+00,-1.7604e+05,-1.7605e+05,-7.9867e-02,-1.7605e+05,1.4681e-01,6.4768e+00,1.7855e+05,2.2075e+02,-1.2694e+00,-1.4564e-01,4.3112e+00,3.9880e+00,2.5703e+01
2.0000e+03,2.5000e+01,1.0000e+00,7.6923e+00,-1.7089e+05,-1.7090e+05,-8.3195e-02,-1.7090e+05,1.4685e-01,6.4801e+00,1.7285e+05,2.3014e+02,-8.5859e-01,-1.8684e+00,4.1512e+00,5.1726e+00,2.5884e+01
2.0000e+03,2.6000e+01,1.0000e+00,7.9755e+00,-1.5994e+05,-1.5995e+05,-8.6523e-02,-1.5995e+05,1.4689e-01,6.4835e+00,1.6770e+05,2.3956e+02,-1.9457e-02,-1.0533e+00,4.6102e+00,2.3374e+00,2.6521e+01
2.0000e+03,2.7000e+01,1.0000e+00,8.2569e+00,-1.5674e+05,-1.5675e+05,-8.9850e-02,-1.5675e+05,1.4692e-01,6.4868e+00,1.5675e+05,2.4843e+02,-1.4088e+00,-1.8145e+00,4.5480e+00,1.7647e+00,2.6814e+01
2.0000e+03,2.8000e+01,1.0000e+00,8.5366e+00,-1.5665e+05,-1.5666e+05,-9.3178e-02,-1.5666e+05,1.4696e-01,6.4901e+00,1.5356e+05,2.5797e+02,-4.9785e-01,-1.7587e+00,4.9999e+00,9.9741e+00,2.8474e+01
2.0000e+03,2.9000e+01,1.0000e+00,8.8146e+00,-1.5427e+05,-1.5428e+05,-9.6506e-02,-1.5428e+05,1.4700e-01,6.4934e+00,1.5346e+05,2.6723e+02,-7.2592e-01,-1.2387e+00,4.3304e+00,7.1484e+00,2.6775e+01
2.0000e+03,3.0000e+01,1.0000e+00,9.0909e+00,-1.5340e+05,-1.5340e+05,-9.9834e-02,-1.5340e+05,1.4704e-01,6.4968e+00,1.5108e+05,2.7689e+02,2.0460e-01,-4.9157e-01,4.6667e+00,4.7326e-01,2.6429e+01
2.0000e+03,3.1000e+01,1.0000e+00,9.3656e+00,-1.5326e+05,-1.5326e+05,-1.0316e-01,-1.5326e+05,1.4707e-01,6.5001e+00,1.5021e+05,2.8598e+02,5.7318e-02,-1.6631e+00,4.5343e+00,7.0575e+00,2.7111e+01
2.0000e+03,3.2000e+01,2.0000e+00,9.6096e+00,-1.5056e+05,-1.5056e+05,-1.0649e-01,-1.5056e+05,1.4711e-01,6.5034e+00,1.5007e+05,3.0463e+02,1.1459e-01,-1.6598e+00,3.8735e+00,8.7110e+00,2.5647e+01
2.0000e+03,3.3000e+01,3.0000e+00,9.8214e+00,-1.4997e+05,-1.4998e+05,-1.0982e-01,-1.4998e+05,1.4715e-01,6.5067e+00,1.4737e+05,3.3355e+02,-9.5951e-01,-1.2646e+00,4.0532e+00,1.8864e+00,2.5689e+01
2.0000e+03,3.4000e+01,1.0000e+00,1.0089e+01,-1.4847e+05,-1.4847e+05,-1.1314e-01,-1.4847e+05,1.4719e-01,6.5101e+00,1.4678e+05,3.4275e+02,-1.4755e+00,-7.8205e-01,4.9543e+00,2.3187e+00,2.7936e+01
2.0000e+03,3.5000e+01,1.0000e+00,1.0355e+01,-1.4575e+05,-1.4575e+05,-1.1647e-01,-1.4575e+05,1.4723e-01,6.5134e+00,1.4528e+05,3.5223e+02,-1.3094e+00,-1.0752e+00,4.5454e+00,4.7033e+00,2.7331e+01
2.0000e+03,3.6000e+01,1.0000e+00,1.0619e+01,-1.4380e+05,-1.4381e+05,-1.1980e-01,-1.4381e+05,1.4726e-01,6.5167e+00,1.4256e+05,3.6158e+02,-1.3077e-01,-1.3018e+00,3.9987e+00,6.4404e-01,2.5391e+01
2.0000e+03,3.7000e+01,1.0000e+00,1.0882e+01,-1.4281e+05,-1.4282e+05,-1.2313e-01,-1.4282e+05,1.4730e-01,6.5201e+00,1.4061e+05,3.7125e+02,-4.2176e-01,-1.5614e+00,4.4901e+00,6.5139e+00,2.7365e+01
2.0000e+03,3.8000e+01,1.0000e+00,1.1144e+01,-1.4134e+05,-1.4135e+05,-1.2646e-01,-1.4135e+05,1.4734e-01,6.5234e+00,1.3962e+05,3.7895e+02,-9.8038e-01,-1.2561e+00,4.3108e+00,9.0213e+00,2.7137e+01
2.0000e+03,3.9000e+01,1.0000e+00,1.1404e+01,-1.3764e+05,-1.3765e+05,-1.2978e-01,-1.3765e+05,1.4738e-01,6.5267e+00,1.3815e+05,3.8833e+02,-3.7975e-01,-5.6990e-01,3.9537e+00,9.7129e+00,2.6230e+01
2.0000e+03,4.0000e+01,1.0000e+00,1.1662e+01,-1.3596e+05,-1.3596e+05,-1.3311e-01,-1.3596e+05,1.4741e-01,6.5300e+00,1.3445e+05,3.9608e+02,-2.7861e-01,-1.4834e+00,4.6632e+00,5.3703e+00,2.7790e+01
2.0000e+03,4.1000e+01,1.0000e+00,1.1919e+01,-1.3571e+05,-1.3572e+05,-1.3644e-01,-1.3572e+05,1.4745e-01,6.5334e+00,1.3277e+05,4.0538e+02,-4.1014e-01,-1.0126e+00,4.3622e+00,7.1498e+00,2.7220e+01
2.0000e+03,4.2000e+01,2.0000e+00,1.2139e+01,-1.3450e+05,-1.3450e+05,-1.3977e-01,-1.3450e+05,1.4749e-01,6.5367e+00,1.3252e+05,4.2432e+02,-1.0249e+00,-1.9311e+00,3.5083e+00,5.2500e+00,2.5210e+01
2.0000e+03,4.3000e+01,2.0000e+00,1.2356e+01,-1.3219e+05,-1.3219e+05,-1.4309e-01,-1.3219e+05,1.4753e-01,6.5400e+00,1.3131e+05,4.4298e+02,-8.4568e-01,-1.1676e+00,4.5103e+00,7.6316e+00,2.7741e+01
2.0000e+03,4.4000e+01,1.0000e+00,1.2607e+01,-1.2959e+05,-1.2960e+05,-1.4642e-01,-1.2960e+05,1.4756e-01,6.5434e+00,1.2900e+05,4.5220e+02,-7.0307e-01,-1.6887e+00,4.9838e+00,8.9079e+00,2.9019e+01
2.0000e+03,4.5000e+01,1.0000e+00,1.2857e+01,-1.2898e+05,-1.2899e+05,-1.4975e-01,-1.2899e+05,1.4760e-01,6.5467e+00,1.2640e+05,4.6158e+02,-1.2378e+00,-5.0787e-01,4.3240e+00,6.3739e+00,2.7192e+01
2.0000e+03,4.6000e+01,1.0000e+00,1.3105e+01,-1.2861e+05,-1.2862e+05,-1.5308e-01,-1.2862e+05,1.4764e-01,6.5500e+00,1.2580e+05,4.7102e+02,-1.3317e+00,-3.6132e-01,3.5184e+00,7.8579e+00,2.5386e+01
2.0000e+03,4.7000e+01,1.0000e+00,1.3352e+01,-1.2819e+05,-1.2819e+05,-1.5641e-01,-1.2819e+05,1.4768e-01,6.5533e+00,1.2542e+05,4.8047e+02,-1.3066e-01,-4.7679e-01,4.6576e+00,6.6204e+00,2.7842e+01
2.0000e+03,4.8000e+01,1.0000e+00,1.3598e+01,-1.2748e+05,-1.2749e+05,-1.5973e-01,-1.2749e+05,1.4771e-01,6.5567e+00,1.2500e+05,4.8945e+02,-1.3880e+00,-9.8821e-01,4.7337e+00,1.5747e+00,2.7847e+01
2.0000e+03,4.9000e+01,1.0000e+00,1.3842e+01,-1.2528e+05,-1.2529e+05,-1.6306e-01,-1.2529e+05,1.4775e-01,6.5600e+00,1.2429e+05,4.9895e+02,-2.2835e-01,-1.9982e-01,4.1167e+00,6.0316e+00,2.6456e+01
2.0000e+03,5.0000e+01,1.0000e+00,1.4085e+01,-1.2443e+05,-1.2444e+05,-1.6639e-01,-1.2444e+05,1.4779e-01,6.5633e+00,1.2209e+05,5.0834e+02,-1.2351e+00,-1.3297e+00,3.6302e+00,8.2609e-01,2.5275e+01
2.0000e+03,5.1000e+01,1.0000e+00,1.4326e+01,-1.2381e+05,-1.2382e+05,-1.6972e-01,-1.2382e+05,1.4783e-01,6.5666e+00,1.2124e+05,5.1783e+02,-8.6999e-01,-1.6783e+00,3.9055e+00,8.3692e+00,2.6594e+01
2.0000e+03,5.2000e+01,1.0000e+00,1.4566e+01,-1.2365e+05,-1.2365e+05,-1.7305e-01,-1.2365e+05,1.4786e-01,6.5700e+00,1.2062e+05,5.2710e+02,1.4230e-01,-1.2272e-01,3.9802e+00,9.1163e+00,2.6186e+01
2.0000e+03,5.3000e+01,1.0000e+00,1.4804e+01,-1.2350e+05,-1.2351e+05,-1.7637e-01,-1.2351e+05,1.4790e-01,6.5733e+00,1.2046e+05,5.3655e+02,-1.3724e+00,-6.9832e-01,4.0227e+00,9.3278e+00,2.6882e+01
2.0000e+03,5.4000e+01,1.0000e+00,1.5042e+01,-1.2259e+05,-1.2260e+05,-1.7970e-01,-1.2260e+05,1.4794e-01,6.5766e+00,1.2031e+05,5.4589e+02,-1.0508e+00,-6.0059e-01,4.6063e+00,9.8386e+00,2.8205e+01
2.0000e+03,5.5000e+01,1.0000e+00,1.5278e+01,-1.2103e+05,-1.2103e+05,-1.8303e-01,-1.2103e+05,1.4798e-01,6.5800e+00,1.1940e+05,5.5540e+02,-1.7912e-01,-4.1785e-01,4.1492e+00,9.4830e+00,2.7001e+01
2.0000e+03,5.6000e+01,3.0000e+00,1.5427e+01,-1.2014e+05,-1.2015e+05,-1.8636e-01,-1.2015e+05,1.4801e-01,6.5833e+00,1.1784e+05,5.8386e+02,-1.1570e+00,-1.9225e+00,3.4634e+00,5.6898e+00,2.5541e+01
2.0000e+03,5.7000e+01,1.0000e+00,1.5659e+01,-1.2001e+05,-1.2001e+05,-1.8968e-01,-1.2001e+05,1.4805e-01,6.5866e+00,1.1695e+05,5.9362e+02,-7.5998e-01,-1.3303e-01,4.9759e+00,5.5236e+00,2.8651e+01
2.0000e+03,5.8000e+01,1.0000e+00,1.5890e+01,-1.1981e+05,-1.1982e+05,-1.9301e-01,-1.1982e+05,1.4809e-01,6.5899e+00,1.1682e+05,6.0322e+02,-6.0049e-01,-2.6226e-01,3.8814e+00,9.0456e+00,2.6388e+01
2.0000e+03,5.9000e+01,1.0000e+00,1.6120e+01,-1.1642e+05,-1.1642e+05,-1.9634e-01,-1.1642e+05,1.4813e-01,6.5933e+00,1.1662e+05,6.1244e+02,9.6215e-02,-4.1895e-01,4.9683e+00,9.5921e+00,2.8960e+01
2.0000e+03,6.0000e+01,1.0000e+00,1.6349e+01,-1.1641e+05,-1.1642e+05,-1.9967e-01,-1.1642e+05,1.4799e-01,6.5815e+00,1.1323e+05,6.2018e+02,-3.9291e-01,-3.4250e-01,3.8524e+00,3.4213e+00,2.5838e+01
2.0000e+03,6.1000e+01,1.0000e+00,1.6576e+01,-1.1613e+05,-1.1614e+05,-2.0300e-01,-1.1614e+05,1.4820e-01,6.5999e+00,1.1322e+05,6.2941e+02,-6.5466e-01,-1.7493e+00,4.8578e+00,2.6856e-01,2.8383e+01
2.0000e+03,6.2000e+01,1.0000e+00,1.6802e+01,-1.1540e+05,-1.1540e+05,-2.0632e-01,-1.1540e+05,1.4824e-01,6.6033e+00,1.1295e+05,6.3912e+02,-7.7138e-01,-7.4425e-01,4.6295e+00,7.8729e-01,2.7752e+01
2.0000e+03,6.3000e+01,1.0000e+00,1.7027e+01,-1.1458e+05,-1.1458e+05,-2.0965e-01,-1.1458e+05,1.4827e-01,6.6066e+00,1.1221e+05,6.4719e+02,-1.0202e-01,-1.7144e+00,4.2227e+00,8.8073e+00,2.7500e+01
2.0000e+03,6.4000e+01,1.0000e+00,1.7251e+01,-1.1457e+05,-1.1457e+05,-2.1298e-01,-1.1457e+05,1.4831e-01,6.6096e+00,1.1139e+05,6.5657e+02,-9.1640e-02,-1.4111e+00,4.1225e+00,2.3254e+00,2.6449e+01
2.0000e+03,6.5000e+01,1.0000e+00,1.7473e+01,-1.1378e+05,-1.1379e+05,-2.1631e-01,-1.1379e+05,1.4835e-01,6.6132e+00,1.1138e+05,6.6609e+02,-6.8994e-01,-3.0563e-01,3.7121e+00,3.7418e+00,2.5690e+01
2.0000e+03,6.6000e+01,1.0000e+00,1.7694e+01,-1.1190e+05,-1.1191e+05,-2.1963e-01,-1.1191e+05,1.4839e-01,6.6166e+00,1.1059e+05,6.7540e+02,-9.0217e-01,-3.7740e-01,4.4908e+00,6.6933e+00,2.7944e+01
2.0000e+03,6.7000e+01,1.0000e+00,1.7914e+01,-1.1180e+05,-1.1180e+05,-2.2296e-01,-1.1180e+05,1.4842e-01,6.6199e+00,1.0871e+05,6.8509e+02,-1.4457e+00,-1.2735e+00,3.9229e+00,4.8081e+00,2.6722e+01
2.0000e+03,6.8000e+01,1.0000e+00,1.8133e+01,-1.0998e+05,-1.0999e+05,-2.2629e-01,-1.0999e+05,1.4846e-01,6.6232e+00,1.0861e+05,6.9459e+02,-7.3544e-01,-7.7570e-01,4.6728e+00,6.2948e+00,2.8530e+01
2.0000e+03,6.9000e+01,1.0000e+00,1.8351e+01,-1.0739e+05,-1.0740e+05,-2.2962e-01,-1.0740e+05,1.4850e-01,6.6265e+00,1.0679e+05,7.0413e+02,-8.4571e-01,-1.1970e+00,4.7004e+00,2.5241e+00,2.8320e+01
2.0000e+03,7.0000e+01,1.0000e+00,1.8568e+01,-1.0687e+05,-1.0687e+05,-2.3295e-01,-1.0687e+05,1.4854e-01,6.6299e+00,1.0421e+05,7.1373e+02,-3.8353e-01,-6.8823e-01,4.0773e+00,1.0225e-01,2.6503e+01
2.0000e+03,7.1000e+01,1.0000e+00,1.8783e+01,-1.0615e+05,-1.0616e+05,-2.3627e-01,-1.0616e+05,1.4857e-01,6.6332e+00,1.0368e+05,7.2331e+02,-1.7442e-01,-2.3300e-02,4.2056e+00,3.5054e+00,2.6677e+01
2.0000e+03,7.2000e+01,2.0000e+00,1.8947e+01,-1.0556e+05,-1.0557e+05,-2.3960e-01,-1.0557e+05,1.4861e-01,6.6365e+00,1.0296e+05,7.4208e+02,-4.7510e-01,-2.6072e-01,4.3289e+00,7.8078e+00,2.7742e+01
2.0000e+03,7.3000e+01,3.0000e+00,1.9060e+01,-1.0505e+05,-1.0505e+05,-2.4293e-01,-1.0505e+05,1.4865e-01,6.6399e+00,1.0237e+05,7.7041e+02,-1.1720e+00,-1.5702e+00,4.0434e+00,9.4544e+00,2.7508e+01
2.0000e+03,7.4000e+01,1.0000e+00,1.9271e+01,-1.0502e+05,-1.0503e+05,-2.4626e-01,-1.0503e+05,1.4868e-01,6.6432e+00,1.0186e+05,7.7993e+02,-1.1968e+00,-8.4009e-01,3.9095e+00,7.3310e+00,2.7020e+01
2.0000e+03,7.5000e+01,1.0000e+00,1.9481e+01,-1.0498e+05,-1.0499e+05,-2.4958e-01,-1.0499e+05,1.4872e-01,6.6465e+00,1.0183e+05,7.8980e+02,-9.3894e-01,-8.1540e-01,3.4402e+00,5.1730e+00,2.5724e+01
2.0000e+03,7.6000e+01,1.0000e+00,1.9689e+01,-1.0421e+05,-1.0422e+05,-2.5291e-01,-1.0422e+05,1.4876e-01,6.6498e+00,1.0179e+05,7.9783e+02,-3.9937e-02,-1.7659e+00,3.0924e+00,8.7433e+00,2.5194e+01
2.0000e+03,7.7000e+01,1.0000e+00,1.9897e+01,-1.0380e+05,-1.0381e+05,-2.5624e-01,-1.0381e+05,1.4880e-01,6.6532e+00,1.0102e+05,8.0719e+02,-7.6890e-01,-1.7399e+00,3.6040e+00,5.9203e+00,2.6274e+01
2.0000e+03,7.8000e+01,1.0000e+00,2.0103e+01,-1.0136e+05,-1.0136e+05,-2.5957e-01,-1.0136e+05,1.4883e-01,6.6565e+00,1.0062e+05,8.1661e+02,-1.4932e+00,-1.6314e+00,4.7119e+00,6.8964e+00,2.9074e+01
2.0000e+03,7.9000e+01,1.0000e+00,2.0308e+01,-1.0120e+05,-1.0120e+05,-2.6290e-01,-1.0120e+05,1.4887e-01,6.6598e+00,9.8166e+04,8.2548e+02,-7.9284e-01,-1.5654e+00,4.0943e+00,8.4922e+00,2.7648e+01
2.0000e+03,8.0000e+01,1.0000e+00,2.0513e+01,-1.0056e+05,-1.0057e+05,-2.6622e-01,-1.0057e+05,1.4891e-01,6.6632e+00,9.8006e+04,8.3508e+02,-1.4077e+00,-1.9146e+00,3.1157e+00,6.0735e+00,2.5411e+01
2.0000e+03,8.1000e+01,1.0000e+00,2.0716e+01,-1.0024e+05,-1.0024e+05,-2.6955e-01,-1.0024e+05,1.4895e-01,6.6665e+00,9.7374e+04,8.4467e+02,-1.4512e+00,-8.5340e-01,4.2226e+00,4.2631e+00,2.7626e+01
2.0000e+03,8.2000e+01,1.0000e+00,2.0918e+01,-9.9161e+04,-9.9168e+04,-2.7288e-01,-9.9168e+04,1.4898e-01,6.6698e+00,9.7047e+04,8.5416e+02,-1.1647e+00,-7.2339e-01,4.3299e+00,4.7513e+00,2.7902e+01
2.0000e+03,8.3000e+01,1.0000e+00,2.1120e+01,-9.8092e+04,-9.8099e+04,-2.7621e-01,-9.8099e+04,1.4902e-01,6.6731e+00,9.5972e+04,8.6357e+02,-3.4697e-01,-1.6335e+00,4.1896e+00,6.1624e+00,2.7778e+01
2.0000e+03,8.4000e+01,1.0000e+00,2.1320e+01,-9.6654e+04,-9.6661e+04,-2.7953e-01,-9.6661e+04,1.4906e-01,6.6765e+00,9.4903e+04,8.7305e+02,-1.3100e-01,-4.0898e-01,4.4103e+00,5.4845e+00,2.7953e+01
2.0000e+03,8.5000e+01,2.0000e+00,2.1465e+01,-9.6259e+04,-9.6266e+04,-2.8286e-01,-9.6266e+04,1.4909e-01,6.6798e+00,9.3465e+04,8.9254e+02,-1.1550e-01,-1.5623e+00,3.9848e+00,4.5957e+00,2.7041e+01
2.0000e+03,8.6000e+01,1.0000e+00,2.1662e+01,-9.6177e+04,-9.6184e+04,-2.8619e-01,-9.6184e+04,1.4913e-01,6.6831e+00,9.3070e+04,9.0177e+02,-8.7382e-01,-9.9801e-01,3.7339e+00,7.1558e+00,2.6851e+01
2.0000e+03,8.7000e+01,1.0000e+00,2.1859e+01,-9.6116e+04,-9.6123e+04,-2.8952e-01,-9.6123e+04,1.4917e-01,6.6864e+00,9.2988e+04,9.1126e+02,-1.4510e+00,-2.7282e-01,4.9945e+00,3.3206e+00,2.9251e+01
2.0000e+03,8.8000e+01,2.0000e+00,2.2000e+01,-9.5925e+04,-9.5932e+04,-2.9285e-01,-9.5932e+04,1.4921e-01,6.6898e+00,9.2927e+04,9.3042e+02,-8.8475e-01,-1.1141e+00,3.3180e+00,6.2139e+00,2.5886e+01
2.0000e+03,8.9000e+01,2.0000e+00,2.2139e+01,-9.5739e+04,-9.5745e+04,-2.9617e-01,-9.5745e+04,1.4924e-01,6.6931e+00,9.2736e+04,9.4829e+02,-3.8489e-01,-1.6681e+00,4.4965e+00,1.0461e+00,2.7951e+01
2.0000e+03,9.0000e+01,1.0000e+00,2.2333e+01,-9.4365e+04,-9.4371e+04,-2.9950e-01,-9.4371e+04,1.4928e-01,6.6964e+00,9.2550e+04,9.5788e+02,-4.5530e-01,-7.4306e-01,4.9306e+00,1.8455e+00,2.9000e+01
2.0000e+03,9.1000e+01,1.0000e+00,2.2525e+01,-9.4103e+04,-9.4109e+04,-3.0283e-01,-9.4109e+04,1.4932e-01,6.6998e+00,9.1175e+04,9.6705e+02,1.2742e-01,-1.8854e+00,4.2732e+00,1.7298e+00,2.7199e+01
2.0000e+03,9.2000e+01,1.0000e+00,2.2716e+01,-9.4064e+04,-9.4070e+04,-3.0616e-01,-9.4070e+04,1.4935e-01,6.7031e+00,9.0913e+04,9.7650e+02,-1.4541e+00,-9.9880e-01,3.1125e+00,2.3104e+00,2.5008e+01
2.0000e+03,9.3000e+01,1.0000e+00,2.2906e+01,-9.2692e+04,-9.2699e+04,-3.0948e-01,-9.2699e+04,1.4939e-01,6.7064e+00,9.0874e+04,9.8586e+02,-1.1407e+00,-2.3364e-01,3.7833e+00,7.1379e+00,2.6849e+01
2.0000e+03,9.4000e+01,1.0000e+00,2.3096e+01,-9.2143e+04,-9.2149e+04,-3.1281e-01,-9.2149e+04,1.4943e-01,6.7097e+00,8.9503e+04,9.9365e+02,-6.4713e-01,-1.4665e+00,3.4200e+00,7.5601e+00,2.6353e+01
2.0000e+03,9.5000e+01,1.0000e+00,2.3284e+01,-9.1171e+04,-9.1178e+04,-3.1614e-01,-9.1178e+04,1.4946e-01,6.7131e+00,8.8953e+04,1.0032e+03,-1.4544e+00,-1.7642e+00,4.3175e+00,1.4709e+00,2.7847e+01
2.0000e+03,9.6000e+01,1.0000e+00,2.3472e+01,-9.0810e+04,-9.0816e+04,-3.1947e-01,-9.0816e+04,1.4950e-01,6.7164e+00,8.7982e+04,1.0126e+03,-1.4008e+00,-1.7935e+00,2.9413e+00,6.7791e+00,2.5454e+01
2.0000e+03,9.7000e+01,2.0000e+00,2.3601e+01,-9.0654e+04,-9.0661e+04,-3.2280e-01,-9.0661e+04,1.4954e-01,6.7197e+00,8.7620e+04,1.0313e+03,-5.0761e-01,-3.6331e-01,4.7559e+00,2.0097e+00,2.8564e+01
2.0000e+03,9.8000e+01,2.0000e+00,2.3729e+01,-8.8993e+04,-8.9000e+04,-3.2612e-01,-8.9000e+04,1.4958e-01,6.7231e+00,8.7465e+04,1.0503e+03,-2.4622e-01,-9.9828e-01,4.0403e+00,8.3428e+00,2.7800e+01
