niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-1.8091e+05,-1.8092e+05,-9.9950e-04,-1.8092e+05,8.7167e-02,7.6019e+00,inf,2.1386e+00,-4.7506e-01,-6.7441e-01,-1.7931e+00,-8.5213e-01,1.7428e-01,8.6519e-01,3.9217e+00,2.2079e+01
2.0000e+00,1.0000e+00,1.9960e-01,-1.8043e+05,-1.8044e+05,-1.9990e-03,-1.8044e+05,8.7173e-02,7.6029e+00,1.7400e+05,4.6992e+00,9.5053e-02,-1.6297e+00,-1.9737e+00,8.7620e-02,1.5195e-01,9.8865e-01,3.8935e+00,2.2241e+01
3.0000e+00,1.0000e+00,2.9910e-01,-1.8016e+05,-1.8016e+05,-2.9985e-03,-1.8016e+05,8.7179e-02,7.6039e+00,1.7352e+05,7.2925e+00,2.0972e-02,-9.7862e-01,-2.1664e+00,4.2826e-02,2.3341e-02,2.6389e+00,3.8323e+00,2.2279e+01
4.0000e+00,1.0000e+00,3.9841e-01,-1.8010e+05,-1.8011e+05,-3.9980e-03,-1.8011e+05,8.7184e-02,7.6049e+00,1.7324e+05,9.8711e+00,2.6008e-01,-7.5109e-01,-1.8359e+00,-8.0546e-01,3.5279e-02,2.7850e-01,3.9489e+00,2.2425e+01
5.0000e+00,1.0000e+00,4.9751e-01,-1.8004e+05,-1.8005e+05,-4.9975e-03,-1.8005e+05,8.7190e-02,7.6059e+00,1.7319e+05,1.2851e+01,-4.8677e-01,-1.9150e+00,-1.9360e+00,-2.1246e+00,-6.3321e-02,1.8624e+00,3.7037e+00,2.2042e+01
6.0000e+00,1.0000e+00,5.9642e-01,-1.7999e+05,-1.7999e+05,-5.9970e-03,-1.7999e+05,8.7196e-02,7.6069e+00,1.7312e+05,1.5809e+01,2.3897e-01,-8.1129e-01,-1.8378e+00,-7.4322e-01,7.3261e-02,1.7166e+00,3.8893e+00,2.2337e+01
7.0000e+00,1.0000e+00,6.9513e-01,-1.7998e+05,-1.7999e+05,-6.9965e-03,-1.7999e+05,8.7072e-02,7.5854e+00,1.7307e+05,1.8791e+01,5.6838e-02,-5.9808e-01,-9.1222e-01,1.4162e-01,1.0630e+00,2.2494e+00,3.9024e+00,2.2225e+01
8.0000e+00,1.0000e+00,7.9365e-01,-1.7995e+05,-1.7996e+05,-7.9960e-03,-1.7996e+05,8.7207e-02,7.6089e+00,1.7307e+05,2.1110e+01,1.3385e-01,-1.1081e+00,-2.7310e+00,2.0117e-01,-2.9609e-01,1.2497e+00,3.8936e+00,2.2436e+01
9.0000e+00,1.0000e+00,8.9197e-01,-1.7985e+05,-1.7986e+05,-8.9955e-03,-1.7986e+05,8.7213e-02,7.6099e+00,1.7304e+05,2.3683e+01,4.8418e-01,-1.0842e+00,-1.6065e+00,-5.2893e-01,-5.3832e-02,6.7994e-01,3.9286e+00,2.2576e+01
1.0000e+01,1.0000e+00,9.9010e-01,-1.7978e+05,-1.7979e+05,-9.9950e-03,-1.7979e+05,8.7219e-02,7.6109e+00,1.7294e+05,2.6392e+01,-3.2988e-01,-9.2243e-01,-1.0613e+00,-1.8418e+00,1.0005e+00,2.1012e+00,3.7679e+00,2.2226e+01
1.1000e+01,1.0000e+00,1.0880e+00,-1.7971e+05,-1.7971e+05,-1.0995e-02,-1.7971e+05,8.7224e-02,7.6119e+00,1.7287e+05,2.8538e+01,-2.2942e-01,-1.2165e+00,-2.9900e+00,-3.8100e-01,7.7545e-01,1.6333e+00,3.9624e+00,2.3072e+01
1.2000e+01,1.0000e+00,1.1858e+00,-1.7971e+05,-1.7971e+05,-1.1994e-02,-1.7971e+05,8.3078e-02,6.9054e+00,1.7279e+05,3.1091e+01,9.6422e-02,-1.1342e+00,-2.4146e+00,-1.9107e+00,5.3321e-01,2.6267e+00,3.9024e+00,2.2835e+01
1.3000e+01,1.0000e+00,1.2833e+00,-1.7969e+05,-1.7970e+05,-1.2994e-02,-1.7970e+05,8.7236e-02,7.6139e+00,1.7279e+05,3.3637e+01,3.3822e-01,-1.7740e+00,-2.0130e+00,2.5131e-01,6.7573e-01,9.1804e-01,3.9290e+00,2.2752e+01
1.4000e+01,1.0000e+00,1.3807e+00,-1.7934e+05,-1.7935e+05,-1.3993e-02,-1.7935e+05,8.7242e-02,7.6149e+00,1.7277e+05,3.6624e+01,-1.0296e-01,-1.6795e+00,-2.2336e+00,-5.2489e-01,8.7672e-01,5.4485e-01,3.7027e+00,2.2254e+01
1.5000e+01,1.0000e+00,1.4778e+00,-1.7934e+05,-1.7934e+05,-1.4993e-02,-1.7934e+05,8.1344e-02,6.6201e+00,1.7243e+05,3.9184e+01,7.5362e-02,-9.1955e-01,-1.3992e+00,5.6167e-03,-5.0255e-01,2.0687e+00,3.9560e+00,2.3076e+01
1.6000e+01,1.0000e+00,1.5748e+00,-1.7933e+05,-1.7934e+05,-1.5992e-02,-1.7934e+05,8.7184e-02,7.6048e+00,1.7242e+05,4.1737e+01,4.9438e-01,-1.1494e+00,-1.0819e+00,-1.9372e+00,-1.0124e+00,1.0421e+00,3.8630e+00,2.2622e+01
1.7000e+01,1.0000e+00,1.6716e+00,-1.7932e+05,-1.7932e+05,-1.6992e-02,-1.7932e+05,8.7259e-02,7.6179e+00,1.7242e+05,4.4292e+01,-3.6253e-01,-9.5638e-01,-1.8095e+00,-1.3206e+00,4.6055e-01,2.3037e+00,3.7753e+00,2.2643e+01
1.8000e+01,1.0000e+00,1.7682e+00,-1.7931e+05,-1.7932e+05,-1.7991e-02,-1.7932e+05,8.6612e-02,7.5053e+00,1.7240e+05,4.6855e+01,-1.0944e-01,-7.7647e-01,-8.0167e-01,1.3644e-01,-1.1872e+00,5.1175e-01,3.9273e+00,2.2867e+01
1.9000e+01,1.0000e+00,1.8646e+00,-1.7919e+05,-1.7920e+05,-1.8991e-02,-1.7920e+05,8.7270e-02,7.6199e+00,1.7240e+05,4.9405e+01,4.6911e-01,-8.7605e-01,-9.0394e-01,-1.9441e+00,6.5122e-01,2.0441e+00,3.8798e+00,2.2688e+01
2.0000e+01,1.0000e+00,1.9608e+00,-1.7905e+05,-1.7906e+05,-1.9990e-02,-1.7906e+05,8.7276e-02,7.6209e+00,1.7228e+05,5.2044e+01,4.0321e-01,-8.8113e-01,-2.3646e+00,-2.1417e+00,2.1847e-01,2.1560e+00,3.7927e+00,2.2656e+01
2.1000e+01,1.0000e+00,2.0568e+00,-1.7902e+05,-1.7902e+05,-2.0990e-02,-1.7902e+05,8.7282e-02,7.6219e+00,1.7214e+05,5.4192e+01,-1.2539e-01,-1.9054e+00,-2.1634e+00,-3.6579e-01,4.8543e-01,7.0154e-01,3.6334e+00,2.2172e+01
2.2000e+01,1.0000e+00,2.1526e+00,-1.7901e+05,-1.7901e+05,-2.1989e-02,-1.7901e+05,8.7279e-02,7.6215e+00,1.7210e+05,5.6763e+01,1.6600e-01,-1.2064e+00,-2.1011e+00,-6.7724e-01,1.7606e-02,5.2799e-01,3.8155e+00,2.2827e+01
2.3000e+01,1.0000e+00,2.2483e+00,-1.7896e+05,-1.7897e+05,-2.2989e-02,-1.7897e+05,8.7293e-02,7.6239e+00,1.7209e+05,5.9345e+01,-2.0236e-01,-1.5826e+00,-1.6308e+00,-5.8440e-01,-1.0645e+00,6.8829e-01,3.8529e+00,2.3145e+01
2.4000e+01,1.0000e+00,2.3438e+00,-1.7891e+05,-1.7892e+05,-2.3988e-02,-1.7892e+05,8.7299e-02,7.6249e+00,1.7205e+05,6.1925e+01,-2.5763e-02,-1.9234e+00,-2.5465e+00,-8.5320e-01,5.4966e-02,1.1316e+00,3.6252e+00,2.2196e+01
2.5000e+01,1.0000e+00,2.4390e+00,-1.7885e+05,-1.7886e+05,-2.4988e-02,-1.7886e+05,8.7305e-02,7.6259e+00,1.7200e+05,6.4481e+01,-2.3510e-01,-5.9412e-01,-9.0663e-01,-1.5993e+00,7.8381e-01,3.0741e-01,3.8302e+00,2.2767e+01
2.6000e+01,2.0000e+00,2.5316e+00,-1.7885e+05,-1.7885e+05,-2.5987e-02,-1.7885e+05,8.7057e-02,7.5827e+00,1.7194e+05,7.0035e+01,3.5482e-02,-1.3328e+00,-3.1805e+00,-6.5012e-01,9.7734e-01,2.6346e+00,3.8013e+00,2.3108e+01
2.7000e+01,1.0000e+00,2.6265e+00,-1.7884e+05,-1.7885e+05,-2.6987e-02,-1.7885e+05,8.7039e-02,7.5795e+00,1.7193e+05,7.2638e+01,3.9189e-01,-7.8447e-01,-8.2553e-01,2.2919e-01,4.3263e-02,9.9437e-01,3.7722e+00,2.2304e+01
2.8000e+01,1.0000e+00,2.7211e+00,-1.7859e+05,-1.7860e+05,-2.7986e-02,-1.7860e+05,8.7322e-02,7.6289e+00,1.7193e+05,7.5604e+01,5.9448e-02,-1.8590e+00,-1.2597e+00,-8.8779e-01,-9.5930e-01,1.8320e+00,3.8090e+00,2.3189e+01
2.9000e+01,1.0000e+00,2.8155e+00,-1.7835e+05,-1.7836e+05,-2.8986e-02,-1.7836e+05,8.7327e-02,7.6299e+00,1.7168e+05,7.8149e+01,-4.4130e-01,-1.7828e+00,-2.6830e+00,-7.9653e-02,2.0941e-01,1.8356e+00,3.6409e+00,2.2758e+01
3.0000e+01,1.0000e+00,2.9098e+00,-1.7831e+05,-1.7832e+05,-2.9985e-02,-1.7832e+05,8.7333e-02,7.6309e+00,1.7144e+05,8.0754e+01,2.9065e-01,-1.2359e+00,-1.5674e+00,-8.1583e-01,-1.2190e+00,1.6353e+00,3.5252e+00,2.2025e+01
3.1000e+01,1.0000e+00,3.0039e+00,-1.7829e+05,-1.7830e+05,-3.0985e-02,-1.7830e+05,8.7339e-02,7.6319e+00,1.7140e+05,8.3046e+01,-2.0388e-01,-1.1591e+00,-8.6400e-01,-1.6025e+00,-1.0849e+00,6.5651e-01,3.9517e+00,2.3901e+01
3.2000e+01,1.0000e+00,3.0978e+00,-1.7812e+05,-1.7813e+05,-3.1984e-02,-1.7813e+05,8.7345e-02,7.6329e+00,1.7138e+05,8.5204e+01,1.9715e-01,-1.7141e+00,-2.1976e+00,-1.8867e+00,6.8237e-02,2.6882e+00,3.5377e+00,2.2707e+01
3.3000e+01,1.0000e+00,3.1915e+00,-1.7810e+05,-1.7811e+05,-3.2984e-02,-1.7811e+05,8.7350e-02,7.6339e+00,1.7121e+05,8.8177e+01,2.1280e-01,-1.2782e+00,-2.0709e+00,2.5823e-01,-1.2701e+00,8.1792e-01,3.8423e+00,2.3493e+01
3.4000e+01,1.0000e+00,3.2850e+00,-1.7810e+05,-1.7810e+05,-3.3983e-02,-1.7810e+05,8.7066e-02,7.5842e+00,1.7119e+05,9.0734e+01,-1.1521e-03,-1.0659e+00,-3.0497e+00,-1.2557e-02,3.2716e-01,1.9264e+00,3.9231e+00,2.3966e+01
3.5000e+01,1.0000e+00,3.3784e+00,-1.7805e+05,-1.7806e+05,-3.4983e-02,-1.7806e+05,8.7362e-02,7.6359e+00,1.7118e+05,9.2882e+01,-1.1373e-02,-1.3926e+00,-2.2464e+00,-4.9334e-01,-7.0175e-01,2.2627e+00,3.8108e+00,2.3687e+01
3.6000e+01,1.0000e+00,3.4716e+00,-1.7800e+05,-1.7801e+05,-3.5982e-02,-1.7801e+05,8.7367e-02,7.6369e+00,1.7114e+05,9.5414e+01,-4.3758e-01,-1.6110e+00,-1.9053e+00,-9.3286e-01,8.9649e-01,3.5417e-01,3.8676e+00,2.4041e+01
3.7000e+01,1.0000e+00,3.5645e+00,-1.7784e+05,-1.7785e+05,-3.6982e-02,-1.7785e+05,8.7373e-02,7.6379e+00,1.7109e+05,9.7993e+01,-3.5996e-01,-9.8355e-01,-2.1692e+00,-1.2625e+00,-7.6698e-01,1.9922e+00,3.6870e+00,2.3253e+01
3.8000e+01,1.0000e+00,3.6574e+00,-1.7780e+05,-1.7781e+05,-3.7981e-02,-1.7781e+05,8.7379e-02,7.6389e+00,1.7093e+05,1.0026e+02,2.7746e-01,-7.6928e-01,-1.7013e+00,-7.8423e-02,6.1019e-01,2.3882e+00,3.5412e+00,2.2383e+01
3.9000e+01,1.0000e+00,3.7500e+00,-1.7769e+05,-1.7770e+05,-3.8981e-02,-1.7770e+05,8.7385e-02,7.6399e+00,1.7089e+05,1.0280e+02,9.7873e-03,-6.7731e-01,-1.1482e+00,-5.4878e-01,-8.3830e-01,5.1648e-01,3.6710e+00,2.2888e+01
4.0000e+01,1.0000e+00,3.8425e+00,-1.7765e+05,-1.7766e+05,-3.9980e-02,-1.7766e+05,8.7390e-02,7.6409e+00,1.7078e+05,1.0545e+02,3.4541e-01,-1.9560e+00,-1.4833e+00,-1.1163e-01,-6.9409e-01,1.4773e+00,3.9284e+00,2.4355e+01
4.1000e+01,1.0000e+00,3.9347e+00,-1.7765e+05,-1.7765e+05,-4.0980e-02,-1.7765e+05,8.7295e-02,7.6242e+00,1.7074e+05,1.0767e+02,4.9783e-01,-1.3983e+00,-1.0274e+00,-7.4225e-01,9.4845e-01,2.4291e+00,3.4244e+00,2.2191e+01
4.2000e+01,1.0000e+00,4.0268e+00,-1.7761e+05,-1.7762e+05,-4.1979e-02,-1.7762e+05,8.7402e-02,7.6429e+00,1.7073e+05,1.1024e+02,1.2734e-01,-1.6075e+00,-1.7794e+00,-7.7784e-01,-9.3380e-01,1.8583e+00,3.8342e+00,2.4141e+01
4.3000e+01,1.0000e+00,4.1188e+00,-1.7757e+05,-1.7758e+05,-4.2979e-02,-1.7758e+05,8.7407e-02,7.6439e+00,1.7070e+05,1.1320e+02,2.1793e-01,-1.9131e+00,-1.9868e+00,2.8881e-01,-1.0903e+00,1.7881e+00,3.6055e+00,2.2853e+01
4.4000e+01,2.0000e+00,4.2065e+00,-1.7756e+05,-1.7757e+05,-4.3978e-02,-1.7757e+05,8.7413e-02,7.6449e+00,1.7066e+05,1.1830e+02,1.1614e-01,-1.6711e+00,-1.0545e+00,-5.4543e-01,-2.5214e-01,8.0109e-01,3.5607e+00,2.2591e+01
4.5000e+01,1.0000e+00,4.2980e+00,-1.7755e+05,-1.7756e+05,-4.4978e-02,-1.7756e+05,8.7040e-02,7.5798e+00,1.7065e+05,1.2087e+02,3.4292e-01,-1.0077e+00,-1.6926e+00,3.0451e-01,2.3091e-01,7.5427e-01,3.7724e+00,2.3571e+01
4.6000e+01,1.0000e+00,4.3893e+00,-1.7754e+05,-1.7755e+05,-4.5977e-02,-1.7755e+05,8.7422e-02,7.6465e+00,1.7064e+05,1.2304e+02,-3.6969e-01,-1.5571e+00,-7.4407e-01,-1.3376e+00,-1.2821e+00,1.9654e+00,3.8261e+00,2.4160e+01
4.7000e+01,1.0000e+00,4.4805e+00,-1.7752e+05,-1.7753e+05,-4.6977e-02,-1.7753e+05,8.7430e-02,7.6479e+00,1.7063e+05,1.2601e+02,-3.7248e-01,-1.8307e+00,-1.4097e+00,-1.5667e+00,8.1927e-01,1.0369e+00,3.6613e+00,2.3419e+01
4.8000e+01,1.0000e+00,4.5714e+00,-1.7751e+05,-1.7751e+05,-4.7976e-02,-1.7751e+05,8.7436e-02,7.6489e+00,1.7061e+05,1.2898e+02,-1.1701e-01,-1.0129e+00,-1.0327e+00,-7.3341e-01,-3.6455e-01,8.6156e-01,3.6394e+00,2.3040e+01
4.9000e+01,1.0000e+00,4.6622e+00,-1.7740e+05,-1.7741e+05,-4.8976e-02,-1.7741e+05,8.7442e-02,7.6499e+00,1.7059e+05,1.3155e+02,-8.0770e-02,-1.1470e+00,-3.1315e+00,3.2399e-01,1.1286e-01,2.1643e+00,3.8045e+00,2.4050e+01
5.0000e+01,1.0000e+00,4.7529e+00,-1.7738e+05,-1.7738e+05,-4.9975e-02,-1.7738e+05,8.7447e-02,7.6509e+00,1.7049e+05,1.3414e+02,3.5142e-01,-1.3851e+00,-2.5823e+00,-2.7812e-01,5.4304e-01,2.1838e+00,3.8456e+00,2.4401e+01
5.1000e+01,1.0000e+00,4.8433e+00,-1.7725e+05,-1.7726e+05,-5.0975e-02,-1.7726e+05,8.7453e-02,7.6519e+00,1.7046e+05,1.3671e+02,-2.1203e-01,-1.4597e+00,-3.0872e+00,1.7384e-01,-7.0780e-01,2.6059e+00,3.2920e+00,2.2039e+01
5.2000e+01,1.0000e+00,4.9336e+00,-1.7718e+05,-1.7718e+05,-5.1974e-02,-1.7718e+05,8.7459e-02,7.6529e+00,1.7034e+05,1.3925e+02,-2.8477e-01,-1.9724e+00,-1.0783e+00,-1.8871e+00,-8.0448e-01,2.6968e+00,3.5459e+00,2.3470e+01
5.3000e+01,1.0000e+00,5.0237e+00,-1.7717e+05,-1.7717e+05,-5.2974e-02,-1.7717e+05,8.7458e-02,7.6527e+00,1.7026e+05,1.4140e+02,-4.0013e-01,-1.8273e+00,-2.6798e+00,-1.9023e+00,1.9103e-01,4.7006e-01,3.8110e+00,2.4552e+01
5.4000e+01,1.0000e+00,5.1136e+00,-1.7710e+05,-1.7711e+05,-5.3973e-02,-1.7711e+05,8.7470e-02,7.6549e+00,1.7025e+05,1.4364e+02,2.8441e-01,-1.3756e+00,-1.2369e+00,-1.9128e+00,-8.7717e-01,9.7394e-01,3.8188e+00,2.4423e+01
5.5000e+01,1.0000e+00,5.2034e+00,-1.7709e+05,-1.7710e+05,-5.4973e-02,-1.7710e+05,8.7407e-02,7.6437e+00,1.7019e+05,1.4619e+02,2.1926e-01,-8.3843e-01,-2.1432e+00,-1.6844e+00,1.3102e-01,2.0527e+00,3.7789e+00,2.4279e+01
5.6000e+01,2.0000e+00,5.2880e+00,-1.7709e+05,-1.7709e+05,-5.5972e-02,-1.7709e+05,8.6613e-02,7.5055e+00,1.7018e+05,1.5090e+02,-4.1348e-01,-8.7048e-01,-1.3801e+00,-1.3763e+00,6.7864e-01,1.5520e+00,3.5576e+00,2.3116e+01
5.7000e+01,1.0000e+00,5.3774e+00,-1.7708e+05,-1.7709e+05,-5.6972e-02,-1.7709e+05,8.6725e-02,7.5250e+00,1.7017e+05,1.5346e+02,-1.8492e-01,-8.0767e-01,-2.0445e+00,-2.3565e-01,-1.2734e+00,7.8916e-01,3.9353e+00,2.4987e+01
5.8000e+01,1.0000e+00,5.4665e+00,-1.7704e+05,-1.7704e+05,-5.7971e-02,-1.7704e+05,8.7493e-02,7.6589e+00,1.7017e+05,1.5601e+02,-8.1160e-02,-1.1661e+00,-2.2722e+00,-1.7151e+00,-1.8942e-01,1.3230e+00,3.7255e+00,2.4090e+01
5.9000e+01,1.0000e+00,5.5556e+00,-1.7698e+05,-1.7699e+05,-5.8971e-02,-1.7699e+05,8.7499e-02,7.6599e+00,1.7012e+05,1.5858e+02,2.5635e-01,-1.3092e+00,-2.7301e+00,-2.0111e+00,-1.1721e+00,2.6767e+00,3.4938e+00,2.3473e+01
6.0000e+01,1.0000e+00,5.6444e+00,-1.7698e+05,-1.7699e+05,-5.9970e-02,-1.7699e+05,8.6344e-02,7.4589e+00,1.7007e+05,1.6079e+02,-1.0601e-01,-1.3151e+00,-1.5638e+00,-9.7539e-01,5.1580e-01,2.3307e+00,3.5157e+00,2.3188e+01
6.1000e+01,1.0000e+00,5.7331e+00,-1.7698e+05,-1.7699e+05,-6.0970e-02,-1.7699e+05,8.2519e-02,6.8128e+00,1.7007e+05,1.6293e+02,3.3008e-01,-6.8473e-01,-3.1738e+00,-1.3409e+00,-1.3182e+00,7.2905e-01,3.9201e+00,2.5018e+01
6.2000e+01,1.0000e+00,5.8216e+00,-1.7697e+05,-1.7698e+05,-6.1969e-02,-1.7698e+05,8.6684e-02,7.5179e+00,1.7007e+05,1.6547e+02,4.9465e-01,-1.7308e+00,-2.4419e+00,-7.4436e-01,-1.4113e+00,2.4672e+00,3.9193e+00,2.5341e+01
6.3000e+01,1.0000e+00,5.9099e+00,-1.7694e+05,-1.7695e+05,-6.2969e-02,-1.7695e+05,8.7522e-02,7.6639e+00,1.7006e+05,1.6843e+02,8.2520e-03,-1.2863e+00,-1.0890e+00,-1.5988e+00,9.7839e-01,8.7734e-01,3.7044e+00,2.3917e+01
6.4000e+01,1.0000e+00,5.9981e+00,-1.7694e+05,-1.7694e+05,-6.3968e-02,-1.7694e+05,8.3499e-02,6.9756e+00,1.7003e+05,1.7137e+02,-1.7906e-01,-1.3704e+00,-1.0348e+00,-5.7069e-01,3.7170e-01,1.9185e+00,3.7969e+00,2.4538e+01
6.5000e+01,1.0000e+00,6.0861e+00,-1.7690e+05,-1.7691e+05,-6.4968e-02,-1.7691e+05,8.7533e-02,7.6659e+00,1.7002e+05,1.7432e+02,-7.7731e-02,-5.5921e-01,-2.2896e+00,1.9292e-01,6.1080e-01,1.6046e+00,3.8282e+00,2.4384e+01
6.6000e+01,1.0000e+00,6.1740e+00,-1.7679e+05,-1.7680e+05,-6.5967e-02,-1.7680e+05,8.7539e-02,7.6669e+00,1.6998e+05,1.7688e+02,3.9580e-01,-1.3216e+00,-9.7346e-01,-1.7821e+00,4.0650e-01,1.4024e+00,3.9115e+00,2.5154e+01
6.7000e+01,1.0000e+00,6.2617e+00,-1.7678e+05,-1.7679e+05,-6.6967e-02,-1.7679e+05,8.7511e-02,7.6620e+00,1.6988e+05,1.7941e+02,-2.9497e-01,-1.6479e+00,-1.7433e+00,-5.9392e-01,1.0220e+00,6.5641e-01,3.4761e+00,2.2932e+01
6.8000e+01,2.0000e+00,6.3433e+00,-1.7677e+05,-1.7677e+05,-6.7966e-02,-1.7677e+05,8.7550e-02,7.6689e+00,1.6987e+05,1.8452e+02,-4.0695e-01,-1.2291e+00,-2.7422e+00,-9.6442e-01,-7.4210e-01,2.4183e-01,3.6956e+00,2.4243e+01
6.9000e+01,1.0000e+00,6.4306e+00,-1.7676e+05,-1.7677e+05,-6.8966e-02,-1.7677e+05,8.7523e-02,7.6641e+00,1.6985e+05,1.8667e+02,1.6252e-01,-1.0597e+00,-7.5492e-01,-8.5917e-01,-1.2000e+00,2.2962e+00,3.8338e+00,2.4718e+01
7.0000e+01,1.0000e+00,6.5177e+00,-1.7675e+05,-1.7676e+05,-6.9965e-02,-1.7676e+05,8.6725e-02,7.5250e+00,1.6984e+05,1.8888e+02,-2.1719e-01,-1.6373e+00,-1.0574e+00,-1.2474e+00,7.8544e-01,2.5903e+00,3.6581e+00,2.4232e+01
7.1000e+01,1.0000e+00,6.6047e+00,-1.7671e+05,-1.7672e+05,-7.0965e-02,-1.7672e+05,8.7567e-02,7.6719e+00,1.6984e+05,1.9182e+02,2.4388e-01,-1.0794e+00,-7.7379e-01,-1.9709e+00,-5.1569e-01,2.2382e+00,3.8624e+00,2.4954e+01
7.2000e+01,1.0000e+00,6.6914e+00,-1.7668e+05,-1.7669e+05,-7.1964e-02,-1.7669e+05,8.7573e-02,7.6729e+00,1.6980e+05,1.9438e+02,2.6209e-01,-1.9372e+00,-2.5321e+00,-1.0564e-01,1.1568e-01,2.3162e-01,3.8664e+00,2.5296e+01
7.3000e+01,1.0000e+00,6.7781e+00,-1.7666e+05,-1.7667e+05,-7.2964e-02,-1.7667e+05,8.7579e-02,7.6739e+00,1.6977e+05,1.9693e+02,1.9347e-01,-1.8866e+00,-2.3290e+00,-1.6628e+00,3.6168e-01,2.3108e+00,3.9460e+00,2.5929e+01
7.4000e+01,1.0000e+00,6.8646e+00,-1.7663e+05,-1.7664e+05,-7.3963e-02,-1.7664e+05,8.7584e-02,7.6749e+00,1.6975e+05,1.9908e+02,-4.3878e-01,-1.9653e+00,-1.9673e+00,-1.4986e+00,-3.2139e-01,2.6496e+00,3.4706e+00,2.3705e+01
7.5000e+01,2.0000e+00,6.9444e+00,-1.7660e+05,-1.7661e+05,-7.4963e-02,-1.7661e+05,8.7590e-02,7.6759e+00,1.6971e+05,2.0389e+02,2.6203e-01,-1.3743e+00,-1.2925e+00,-1.1081e+00,-8.7345e-01,1.2184e+00,3.7093e+00,2.4335e+01
7.6000e+01,1.0000e+00,7.0305e+00,-1.7660e+05,-1.7661e+05,-7.5962e-02,-1.7661e+05,8.6831e-02,7.5435e+00,1.6969e+05,2.0605e+02,-2.8074e-01,-1.6971e+00,-2.0153e+00,-2.0206e+00,-7.6487e-01,2.3934e+00,3.7840e+00,2.5142e+01
7.7000e+01,1.0000e+00,7.1165e+00,-1.7659e+05,-1.7660e+05,-7.6962e-02,-1.7660e+05,8.7597e-02,7.6771e+00,1.6969e+05,2.0820e+02,2.5569e-01,-6.0185e-01,-2.2948e+00,-1.4228e+00,-5.0479e-01,2.2849e+00,3.7290e+00,2.4564e+01
7.8000e+01,2.0000e+00,7.1956e+00,-1.7655e+05,-1.7656e+05,-7.7961e-02,-1.7656e+05,8.7607e-02,7.6789e+00,1.6968e+05,2.1368e+02,2.9793e-01,-1.5446e+00,-2.2395e+00,-1.0419e+00,-1.3833e+00,1.7595e+00,3.4876e+00,2.3405e+01
7.9000e+01,1.0000e+00,7.2811e+00,-1.7654e+05,-1.7655e+05,-7.8961e-02,-1.7655e+05,8.7605e-02,7.6784e+00,1.6964e+05,2.1624e+02,2.4241e-01,-1.4991e+00,-1.7016e+00,-1.9450e+00,-1.0013e-01,1.8629e+00,3.4133e+00,2.2972e+01
8.0000e+01,1.0000e+00,7.3665e+00,-1.7652e+05,-1.7653e+05,-7.9960e-02,-1.7653e+05,8.7619e-02,7.6809e+00,1.6963e+05,2.1887e+02,3.5260e-01,-1.1031e+00,-1.5012e+00,-8.2215e-01,7.8842e-01,3.4628e-01,3.4341e+00,2.2871e+01
8.1000e+01,2.0000e+00,7.4449e+00,-1.7652e+05,-1.7653e+05,-8.0960e-02,-1.7653e+05,8.2508e-02,6.8109e+00,1.6961e+05,2.2354e+02,-2.9183e-02,-1.4359e+00,-1.7107e+00,-1.3457e+00,-1.2933e+00,9.4179e-01,3.4556e+00,2.3017e+01
8.2000e+01,1.0000e+00,7.5298e+00,-1.7647e+05,-1.7648e+05,-8.1959e-02,-1.7648e+05,8.7630e-02,7.6829e+00,1.6960e+05,2.2643e+02,-4.6544e-01,-1.9023e+00,-1.7885e+00,-1.4926e+00,-2.3663e-01,9.9966e-01,3.6569e+00,2.4442e+01
8.3000e+01,1.0000e+00,7.6147e+00,-1.7646e+05,-1.7647e+05,-8.2959e-02,-1.7647e+05,8.7589e-02,7.6757e+00,1.6955e+05,2.2937e+02,3.1774e-01,-1.5394e+00,-1.3995e+00,-8.5291e-01,1.4185e-02,1.4825e+00,3.8687e+00,2.5647e+01
8.4000e+01,1.0000e+00,7.6994e+00,-1.7645e+05,-1.7646e+05,-8.3958e-02,-1.7646e+05,8.7595e-02,7.6768e+00,1.6955e+05,2.3190e+02,3.6596e-01,-9.3191e-01,-1.5764e+00,-1.2031e+00,-9.8639e-01,2.0769e+00,3.3937e+00,2.2939e+01
8.5000e+01,2.0000e+00,7.7768e+00,-1.7643e+05,-1.7643e+05,-8.4958e-02,-1.7643e+05,8.7647e-02,7.6859e+00,1.6954e+05,2.3696e+02,-4.1523e-01,-1.5005e+00,-1.4147e+00,-1.8090e+00,-5.3478e-02,8.9822e-01,3.9124e+00,2.6007e+01
8.6000e+01,1.0000e+00,7.8611e+00,-1.7635e+05,-1.7636e+05,-8.5957e-02,-1.7636e+05,8.7653e-02,7.6869e+00,1.6951e+05,2.3955e+02,-2.7463e-01,-1.8069e+00,-7.7173e-01,-3.3005e-01,-2.2506e-01,2.2779e+00,3.6715e+00,2.4537e+01
8.7000e+01,1.0000e+00,7.9452e+00,-1.7634e+05,-1.7635e+05,-8.6957e-02,-1.7635e+05,8.7659e-02,7.6879e+00,1.6944e+05,2.4168e+02,-1.3895e-01,-1.0325e+00,-2.1920e+00,5.4492e-02,-1.0020e+00,5.0688e-01,3.5598e+00,2.3649e+01
