logfeh,logdust,logNpix,logage,dmod,logl
-6.9847e-03,-1.5009e+00,4.0299e+00,9.7940e+00,2.9942e+01,-6.4990e+01
6.4175e-03,-1.4906e+00,4.0269e+00,9.7920e+00,2.9932e+01,-6.4810e+01
-2.8766e-03,-1.4906e+00,4.0313e+00,9.7897e+00,2.9944e+01,-6.5119e+01
-3.0075e-03,-1.4939e+00,4.0302e+00,9.7834e+00,2.9941e+01,-6.4603e+01
-3.1759e-04,-1.4978e+00,4.0302e+00,9.7789e+00,2.9942e+01,-6.4860e+01
-7.7203e-03,-1.5012e+00,4.0307e+00,9.8063e+00,2.9945e+01,-6.3727e+01
4.6772e-03,-1.4971e+00,4.0285e+00,9.7847e+00,2.9939e+01,-6.5239e+01
-8.9559e-04,-1.4944e+00,4.0267e+00,9.7930e+00,2.9933e+01,-6.5222e+01
4.9779e-04,-1.4941e+00,4.0310e+00,9.7930e+00,2.9944e+01,-6.4158e+01
-9.7049e-03,-1.4931e+00,4.0335e+00,9.7931e+00,2.9950e+01,-6.4887e+01
-2.5831e-03,-1.4906e+00,4.0261e+00,9.7779e+00,2.9931e+01,-6.4326e+01
9.3540e-03,-1.4936e+00,4.0321e+00,9.8134e+00,2.9946e+01,-6.4808e+01
-5.5777e-03,-1.4992e+00,4.0311e+00,9.7916e+00,2.9944e+01,-6.5071e+01
9.6364e-03,-1.4947e+00,4.0305e+00,9.8038e+00,2.9942e+01,-6.5014e+01
-1.7558e-03,-1.5005e+00,4.0301e+00,9.8233e+00,2.9943e+01,-6.5364e+01
-2.4577e-03,-1.4926e+00,4.0262e+00,9.8093e+00,2.9931e+01,-6.2815e+01
-4.6603e-03,-1.4911e+00,4.0363e+00,9.8002e+00,2.9956e+01,-6.2568e+01
1.7099e-03,-1.4990e+00,4.0311e+00,9.8006e+00,2.9944e+01,-5.9192e+01
4.0160e-04,-1.4991e+00,4.0269e+00,9.8218e+00,2.9934e+01,-6.1191e+01
9.7562e-03,-1.5017e+00,4.0327e+00,9.8062e+00,2.9948e+01,-6.5189e+01
6.5595e-03,-1.4956e+00,4.0309e+00,9.7841e+00,2.9943e+01,-6.4037e+01
-3.9377e-03,-1.4970e+00,4.0342e+00,9.7958e+00,2.9951e+01,-6.0805e+01
-7.2062e-03,-1.5017e+00,4.0312e+00,9.8031e+00,2.9946e+01,-6.5122e+01
9.0641e-03,-1.5020e+00,4.0295e+00,9.7785e+00,2.9941e+01,-6.4502e+01
3.5879e-03,-1.4979e+00,4.0322e+00,9.7875e+00,2.9947e+01,-6.3379e+01
-8.6713e-04,-1.4953e+00,4.0241e+00,9.8042e+00,2.9926e+01,-6.4706e+01
-5.0770e-03,-1.4924e+00,4.0337e+00,9.7910e+00,2.9950e+01,-6.5097e+01
-8.9826e-03,-1.4941e+00,4.0264e+00,9.8182e+00,2.9932e+01,-6.5309e+01
-7.8372e-03,-1.4922e+00,4.0252e+00,9.7907e+00,2.9930e+01,-6.3174e+01
-2.3629e-03,-1.5086e+00,4.0292e+00,9.7928e+00,2.9941e+01,-6.3764e+01
-7.3134e-03,-1.4966e+00,4.0303e+00,9.8000e+00,2.9943e+01,-6.5341e+01
-8.8640e-03,-1.5049e+00,4.0300e+00,9.7918e+00,2.9944e+01,-6.4716e+01
-3.1939e-03,-1.5016e+00,4.0307e+00,9.7882e+00,2.9946e+01,-6.4272e+01
-7.6854e-03,-1.4968e+00,4.0334e+00,9.8007e+00,2.9949e+01,-6.4010e+01
-6.6782e-03,-1.4965e+00,4.0259e+00,9.8143e+00,2.9931e+01,-6.5310e+01
-8.5123e-03,-1.4911e+00,4.0300e+00,9.7820e+00,2.9940e+01,-6.5104e+01
-3.3471e-03,-1.4950e+00,4.0294e+00,9.8206e+00,2.9940e+01,-6.4953e+01
-8.5631e-03,-1.4949e+00,4.0297e+00,9.7919e+00,2.9941e+01,-6.1435e+01
-4.5766e-03,-1.4928e+00,4.0266e+00,9.8103e+00,2.9932e+01,-6.2003e+01
-4.5773e-03,-1.4945e+00,4.0302e+00,9.7962e+00,2.9942e+01,-6.3165e+01
-6.8553e-03,-1.4959e+00,4.0299e+00,9.7936e+00,2.9941e+01,-6.5220e+01
9.7838e-03,-1.4901e+00,4.0323e+00,9.8147e+00,2.9946e+01,-6.4639e+01
9.0634e-03,-1.5075e+00,4.0308e+00,9.7794e+00,2.9945e+01,-6.5109e+01
5.1211e-03,-1.4913e+00,4.0278e+00,9.7955e+00,2.9935e+01,-6.4977e+01
2.8605e-03,-1.4970e+00,4.0305e+00,9.8228e+00,2.9943e+01,-6.2700e+01
-6.3061e-03,-1.4993e+00,4.0291e+00,9.8169e+00,2.9939e+01,-6.3828e+01
-2.9266e-03,-1.4959e+00,4.0251e+00,9.7764e+00,2.9929e+01,-6.2405e+01
-3.6201e-03,-1.4969e+00,4.0297e+00,9.8196e+00,2.9942e+01,-6.3487e+01
-8.4032e-03,-1.4913e+00,4.0334e+00,9.7945e+00,2.9949e+01,-6.4160e+01
8.3326e-03,-1.4976e+00,4.0268e+00,9.7865e+00,2.9934e+01,-6.5224e+01
-4.2855e-03,-1.4962e+00,4.0311e+00,9.7914e+00,2.9944e+01,-6.4333e+01
-7.4355e-05,-1.4997e+00,4.0300e+00,9.8200e+00,2.9942e+01,-6.3323e+01
-6.7996e-03,-1.5024e+00,4.0318e+00,9.7847e+00,2.9947e+01,-6.2751e+01
3.8848e-03,-1.4968e+00,4.0300e+00,9.7906e+00,2.9942e+01,-6.3609e+01
-9.4165e-03,-1.4915e+00,4.0220e+00,9.7872e+00,2.9920e+01,-6.4969e+01
-2.8401e-03,-1.4920e+00,4.0268e+00,9.7990e+00,2.9932e+01,-6.4712e+01
-4.4298e-03,-1.4960e+00,4.0303e+00,9.8030e+00,2.9943e+01,-6.4604e+01
-8.9979e-03,-1.4968e+00,4.0289e+00,9.7965e+00,2.9939e+01,-6.5197e+01
2.6286e-03,-1.5012e+00,4.0307e+00,9.7849e+00,2.9945e+01,-6.3718e+01
9.8338e-03,-1.4963e+00,4.0361e+00,9.8083e+00,2.9956e+01,-6.4594e+01
-3.9140e-04,-1.4935e+00,4.0259e+00,9.7930e+00,2.9930e+01,-6.5361e+01
-2.7946e-03,-1.4925e+00,4.0353e+00,9.7834e+00,2.9954e+01,-6.5034e+01
5.9090e-03,-1.4935e+00,4.0311e+00,9.7919e+00,2.9944e+01,-6.5362e+01
-5.0594e-03,-1.5011e+00,4.0256e+00,9.7957e+00,2.9931e+01,-6.1009e+01
-7.9339e-03,-1.5069e+00,4.0296e+00,9.8103e+00,2.9942e+01,-6.5223e+01
2.6740e-03,-1.4926e+00,4.0262e+00,9.8232e+00,2.9931e+01,-6.4931e+01
-9.4078e-03,-1.5038e+00,4.0270e+00,9.8080e+00,2.9935e+01,-6.2677e+01
8.7849e-03,-1.4993e+00,4.0301e+00,9.7797e+00,2.9942e+01,-6.2247e+01
6.7510e-03,-1.4952e+00,4.0296e+00,9.8245e+00,2.9940e+01,-6.3631e+01
8.5831e-03,-1.4943e+00,4.0320e+00,9.8214e+00,2.9946e+01,-6.4293e+01
3.0276e-03,-1.4941e+00,4.0337e+00,9.7826e+00,2.9949e+01,-6.4385e+01
-9.9276e-04,-1.4943e+00,4.0291e+00,9.7781e+00,2.9939e+01,-6.0337e+01
6.3918e-03,-1.5029e+00,4.0307e+00,9.7942e+00,2.9946e+01,-6.0490e+01
-5.0181e-03,-1.4942e+00,4.0311e+00,9.8064e+00,2.9944e+01,-6.4827e+01
-7.0917e-03,-1.4965e+00,4.0314e+00,9.8127e+00,2.9946e+01,-6.2864e+01
-2.7201e-03,-1.4989e+00,4.0256e+00,9.8148e+00,2.9931e+01,-6.2407e+01
7.1136e-03,-1.4930e+00,4.0337e+00,9.7751e+00,2.9949e+01,-6.4064e+01
1.4103e-03,-1.4925e+00,4.0364e+00,9.8140e+00,2.9957e+01,-6.2766e+01
-7.5470e-03,-1.5013e+00,4.0289e+00,9.7895e+00,2.9940e+01,-6.4943e+01
4.8938e-05,-1.4975e+00,4.0312e+00,9.8085e+00,2.9945e+01,-6.4658e+01
-1.5255e-03,-1.4914e+00,4.0259e+00,9.8051e+00,2.9930e+01,-6.4823e+01
-5.1185e-03,-1.4921e+00,4.0258e+00,9.8139e+00,2.9931e+01,-6.3866e+01
8.8107e-03,-1.4939e+00,4.0326e+00,9.7823e+00,2.9947e+01,-6.5258e+01
5.9950e-03,-1.4941e+00,4.0272e+00,9.7874e+00,2.9934e+01,-6.4831e+01
-4.8122e-03,-1.4931e+00,4.0350e+00,9.7918e+00,2.9953e+01,-6.3897e+01
2.3567e-03,-1.4995e+00,4.0310e+00,9.7983e+00,2.9944e+01,-6.3542e+01
8.0872e-04,-1.4973e+00,4.0300e+00,9.7856e+00,2.9942e+01,-6.4878e+01
-4.1523e-03,-1.5033e+00,4.0306e+00,9.8188e+00,2.9944e+01,-6.4826e+01
6.4314e-03,-1.4986e+00,4.0310e+00,9.7963e+00,2.9944e+01,-5.8496e+01
1.5752e-03,-1.4913e+00,4.0335e+00,9.8173e+00,2.9949e+01,-6.4233e+01
3.2056e-03,-1.4923e+00,4.0269e+00,9.7819e+00,2.9933e+01,-6.2325e+01
2.8655e-03,-1.4984e+00,4.0294e+00,9.8131e+00,2.9940e+01,-6.4356e+01
-7.8688e-03,-1.4944e+00,4.0331e+00,9.8164e+00,2.9949e+01,-6.4916e+01
5.1045e-03,-1.5037e+00,4.0311e+00,9.7796e+00,2.9946e+01,-6.3345e+01
-1.9826e-03,-1.4974e+00,4.0293e+00,9.8099e+00,2.9939e+01,-6.4942e+01
-2.6578e-03,-1.4910e+00,4.0323e+00,9.7817e+00,2.9946e+01,-6.4890e+01
-4.3093e-03,-1.4965e+00,4.0215e+00,9.7822e+00,2.9920e+01,-6.3836e+01
3.5876e-03,-1.5034e+00,4.0304e+00,9.7894e+00,2.9943e+01,-6.3083e+01
-4.2195e-03,-1.4949e+00,4.0359e+00,9.7894e+00,2.9955e+01,-6.5182e+01
-8.2401e-03,-1.4951e+00,4.0271e+00,9.8101e+00,2.9934e+01,-6.5233e+01
8.0887e-03,-1.4941e+00,4.0270e+00,9.7945e+00,2.9934e+01,-6.3224e+01
-8.7159e-03,-1.4922e+00,4.0261e+00,9.8114e+00,2.9931e+01,-6.4496e+01
-1.9201e-03,-1.4906e+00,4.0371e+00,9.8179e+00,2.9957e+01,-6.3534e+01
3.8566e-03,-1.4903e+00,4.0290e+00,9.8127e+00,2.9937e+01,-6.3834e+01
3.4441e-03,-1.5032e+00,4.0303e+00,9.7901e+00,2.9944e+01,-6.4891e+01
-9.7598e-03,-1.4984e+00,4.0290e+00,9.7953e+00,2.9939e+01,-6.4565e+01
-3.2387e-03,-1.5010e+00,4.0269e+00,9.8136e+00,2.9934e+01,-6.4964e+01
5.4355e-03,-1.4939e+00,4.0222e+00,9.7822e+00,2.9921e+01,-6.5144e+01
-5.7722e-04,-1.4903e+00,4.0302e+00,9.8030e+00,2.9940e+01,-6.3769e+01
3.2787e-03,-1.4965e+00,4.0284e+00,9.8056e+00,2.9937e+01,-6.1588e+01
6.1790e-03,-1.4920e+00,4.0322e+00,9.8189e+00,2.9946e+01,-6.5395e+01
6.3490e-03,-1.4947e+00,4.0296e+00,9.8035e+00,2.9940e+01,-6.3518e+01
8.1953e-03,-1.4930e+00,4.0342e+00,9.8232e+00,2.9951e+01,-6.4889e+01
2.4718e-03,-1.4984e+00,4.0254e+00,9.8042e+00,2.9931e+01,-6.5193e+01
1.8235e-03,-1.5011e+00,4.0324e+00,9.7895e+00,2.9948e+01,-6.4673e+01
-7.3148e-03,-1.4948e+00,4.0301e+00,9.7849e+00,2.9942e+01,-6.2212e+01
-3.5279e-03,-1.4948e+00,4.0353e+00,9.7896e+00,2.9954e+01,-6.2911e+01
9.2940e-03,-1.4923e+00,4.0334e+00,9.8091e+00,2.9949e+01,-6.5284e+01
9.6396e-04,-1.5048e+00,4.0296e+00,9.8224e+00,2.9941e+01,-6.3044e+01
7.5484e-03,-1.4972e+00,4.0262e+00,9.8168e+00,2.9932e+01,-6.5334e+01
8.1821e-03,-1.4961e+00,4.0313e+00,9.8175e+00,2.9945e+01,-6.5019e+01
3.1238e-03,-1.4955e+00,4.0298e+00,9.8141e+00,2.9941e+01,-6.5054e+01
-1.1110e-03,-1.4919e+00,4.0298e+00,9.8069e+00,2.9940e+01,-6.4859e+01
-5.7472e-03,-1.4982e+00,4.0295e+00,9.8214e+00,2.9940e+01,-6.4048e+01
-2.7293e-03,-1.4965e+00,4.0262e+00,9.7813e+00,2.9932e+01,-6.4510e+01
6.8261e-03,-1.4955e+00,4.0284e+00,9.8185e+00,2.9937e+01,-6.4424e+01
5.5147e-03,-1.4958e+00,4.0312e+00,9.7830e+00,2.9944e+01,-6.5294e+01
5.0224e-03,-1.4934e+00,4.0311e+00,9.8179e+00,2.9943e+01,-6.1936e+01
5.4867e-03,-1.4937e+00,4.0324e+00,9.8122e+00,2.9946e+01,-6.5270e+01
6.0766e-03,-1.4951e+00,4.0324e+00,9.7811e+00,2.9946e+01,-6.3672e+01
8.9932e-03,-1.5000e+00,4.0299e+00,9.8143e+00,2.9942e+01,-6.4997e+01
7.8303e-03,-1.5014e+00,4.0300e+00,9.8119e+00,2.9942e+01,-6.4394e+01
-8.7571e-03,-1.4929e+00,4.0270e+00,9.7855e+00,2.9933e+01,-6.5290e+01
3.5502e-03,-1.4919e+00,4.0347e+00,9.7752e+00,2.9951e+01,-6.4963e+01
-1.9503e-03,-1.4909e+00,4.0299e+00,9.8027e+00,2.9941e+01,-6.5396e+01
1.7622e-03,-1.4935e+00,4.0348e+00,9.7883e+00,2.9952e+01,-6.3212e+01
6.0393e-03,-1.4945e+00,4.0301e+00,9.7768e+00,2.9942e+01,-6.5030e+01
4.1805e-03,-1.4928e+00,4.0242e+00,9.8230e+00,2.9926e+01,-6.2536e+01
1.7424e-03,-1.5005e+00,4.0313e+00,9.7801e+00,2.9946e+01,-6.4247e+01
5.4705e-03,-1.4917e+00,4.0269e+00,9.7889e+00,2.9933e+01,-6.5275e+01
4.3150e-05,-1.4931e+00,4.0345e+00,9.7955e+00,2.9952e+01,-6.4750e+01
-4.7286e-03,-1.5042e+00,4.0302e+00,9.8070e+00,2.9942e+01,-6.4405e+01
-9.5361e-03,-1.4913e+00,4.0340e+00,9.7994e+00,2.9951e+01,-6.4440e+01
5.7619e-03,-1.4904e+00,4.0323e+00,9.8207e+00,2.9946e+01,-6.3520e+01
-7.6932e-03,-1.4912e+00,4.0362e+00,9.7776e+00,2.9956e+01,-6.2598e+01
6.7956e-03,-1.4911e+00,4.0313e+00,9.7775e+00,2.9944e+01,-6.3996e+01
4.8167e-03,-1.4929e+00,4.0246e+00,9.7862e+00,2.9926e+01,-6.5331e+01
2.1114e-03,-1.5015e+00,4.0299e+00,9.7790e+00,2.9942e+01,-6.5236e+01
6.5900e-03,-1.4989e+00,4.0302e+00,9.8052e+00,2.9942e+01,-6.5001e+01
-6.7875e-03,-1.5002e+00,4.0269e+00,9.8137e+00,2.9934e+01,-6.3727e+01
-4.0094e-03,-1.5034e+00,4.0312e+00,9.7944e+00,2.9946e+01,-6.4819e+01
-7.6738e-03,-1.4962e+00,4.0269e+00,9.7821e+00,2.9933e+01,-6.4068e+01
5.5294e-03,-1.4975e+00,4.0242e+00,9.8190e+00,2.9927e+01,-6.2445e+01
-2.6882e-03,-1.4937e+00,4.0266e+00,9.8082e+00,2.9932e+01,-6.4116e+01
-1.7855e-03,-1.5010e+00,4.0295e+00,9.7958e+00,2.9941e+01,-6.5055e+01
8.9065e-03,-1.5004e+00,4.0312e+00,9.8098e+00,2.9945e+01,-6.5079e+01
-8.1924e-03,-1.4987e+00,4.0295e+00,9.7860e+00,2.9941e+01,-6.4869e+01
5.1594e-03,-1.4946e+00,4.0292e+00,9.7886e+00,2.9938e+01,-6.5331e+01
-5.8752e-03,-1.4907e+00,4.0236e+00,9.7871e+00,2.9924e+01,-6.5267e+01
-4.3834e-04,-1.4936e+00,4.0354e+00,9.8087e+00,2.9954e+01,-6.4749e+01
-4.1499e-04,-1.4937e+00,4.0251e+00,9.8074e+00,2.9928e+01,-6.3666e+01
1.7078e-03,-1.4983e+00,4.0301e+00,9.7824e+00,2.9942e+01,-6.4071e+01
2.3441e-03,-1.4930e+00,4.0273e+00,9.7976e+00,2.9934e+01,-6.5009e+01
2.0485e-03,-1.5012e+00,4.0313e+00,9.8155e+00,2.9946e+01,-6.5005e+01
-3.2241e-03,-1.4987e+00,4.0321e+00,9.8099e+00,2.9947e+01,-6.5212e+01
-6.5907e-03,-1.4984e+00,4.0310e+00,9.8103e+00,2.9944e+01,-6.5126e+01
2.7148e-03,-1.4980e+00,4.0252e+00,9.8192e+00,2.9930e+01,-6.4474e+01
8.0267e-03,-1.4984e+00,4.0307e+00,9.8175e+00,2.9943e+01,-6.3529e+01
-2.2548e-03,-1.5013e+00,4.0301e+00,9.8000e+00,2.9943e+01,-6.2939e+01
7.3145e-03,-1.4970e+00,4.0312e+00,9.8217e+00,2.9945e+01,-6.4637e+01
9.9337e-03,-1.4980e+00,4.0297e+00,9.8056e+00,2.9941e+01,-6.5199e+01
-7.5201e-03,-1.4981e+00,4.0298e+00,9.8100e+00,2.9941e+01,-6.3170e+01
-5.2952e-03,-1.4945e+00,4.0262e+00,9.7971e+00,2.9931e+01,-6.5146e+01
-1.4368e-03,-1.4950e+00,4.0301e+00,9.7968e+00,2.9942e+01,-6.5401e+01
-5.8911e-03,-1.4955e+00,4.0268e+00,9.7880e+00,2.9933e+01,-6.3946e+01
8.0735e-03,-1.4929e+00,4.0272e+00,9.8041e+00,2.9934e+01,-6.5164e+01
-1.6756e-03,-1.5034e+00,4.0310e+00,9.8163e+00,2.9946e+01,-6.4546e+01
6.6404e-03,-1.4953e+00,4.0273e+00,9.7830e+00,2.9935e+01,-6.3010e+01
7.8969e-03,-1.4947e+00,4.0336e+00,9.8014e+00,2.9950e+01,-6.4712e+01
-4.6996e-03,-1.4992e+00,4.0301e+00,9.8158e+00,2.9942e+01,-6.2725e+01
9.2360e-04,-1.5013e+00,4.0338e+00,9.8058e+00,2.9951e+01,-6.5240e+01
-6.6660e-03,-1.4918e+00,4.0270e+00,9.7798e+00,2.9933e+01,-6.3551e+01
9.5331e-03,-1.4943e+00,4.0364e+00,9.7887e+00,2.9956e+01,-6.3853e+01
4.8131e-03,-1.4907e+00,4.0354e+00,9.7750e+00,2.9954e+01,-6.4737e+01
2.1890e-03,-1.4914e+00,4.0346e+00,9.7929e+00,2.9951e+01,-6.4952e+01
3.9703e-04,-1.4959e+00,4.0297e+00,9.7755e+00,2.9941e+01,-6.5022e+01
9.7755e-03,-1.4951e+00,4.0263e+00,9.7885e+00,2.9932e+01,-6.2792e+01
7.6443e-03,-1.4996e+00,4.0303e+00,9.7972e+00,2.9943e+01,-6.3914e+01
-5.2503e-03,-1.5024e+00,4.0321e+00,9.7762e+00,2.9948e+01,-6.5292e+01
-4.9695e-03,-1.4922e+00,4.0358e+00,9.8006e+00,2.9954e+01,-6.3279e+01
-3.5540e-03,-1.4909e+00,4.0255e+00,9.7980e+00,2.9929e+01,-6.4377e+01
-6.8190e-03,-1.5064e+00,4.0303e+00,9.8146e+00,2.9944e+01,-6.4317e+01
2.3843e-03,-1.4914e+00,4.0312e+00,9.8177e+00,2.9944e+01,-6.3414e+01
2.7848e-03,-1.4942e+00,4.0300e+00,9.8067e+00,2.9942e+01,-6.5250e+01
8.0611e-03,-1.4967e+00,4.0322e+00,9.7826e+00,2.9947e+01,-6.3531e+01
9.5779e-03,-1.4958e+00,4.0294e+00,9.8211e+00,2.9940e+01,-6.1600e+01
-6.1334e-04,-1.4921e+00,4.0251e+00,9.7768e+00,2.9928e+01,-6.4610e+01
-3.3561e-03,-1.4951e+00,4.0258e+00,9.8090e+00,2.9930e+01,-6.4695e+01
3.3873e-03,-1.4943e+00,4.0263e+00,9.8045e+00,2.9932e+01,-6.4798e+01
6.9818e-03,-1.4956e+00,4.0307e+00,9.7859e+00,2.9943e+01,-6.5355e+01
3.9516e-03,-1.4988e+00,4.0301e+00,9.8039e+00,2.9942e+01,-6.3303e+01
4.5318e-04,-1.4945e+00,4.0340e+00,9.7979e+00,2.9951e+01,-6.4999e+01
-6.2663e-03,-1.4956e+00,4.0312e+00,9.7802e+00,2.9944e+01,-6.2879e+01
8.8556e-03,-1.4972e+00,4.0334e+00,9.7797e+00,2.9949e+01,-6.4393e+01
9.8123e-03,-1.4901e+00,4.0304e+00,9.7883e+00,2.9941e+01,-6.4141e+01
8.4534e-03,-1.4901e+00,4.0313e+00,9.8104e+00,2.9944e+01,-6.4426e+01
-3.1823e-03,-1.4943e+00,4.0366e+00,9.7860e+00,2.9957e+01,-6.4151e+01
3.0319e-03,-1.5024e+00,4.0306e+00,9.8173e+00,2.9944e+01,-6.4980e+01
1.5721e-04,-1.4938e+00,4.0288e+00,9.7862e+00,2.9938e+01,-6.4927e+01
-1.2318e-03,-1.4914e+00,4.0251e+00,9.7950e+00,2.9927e+01,-6.4604e+01
2.7798e-03,-1.5046e+00,4.0290e+00,9.8162e+00,2.9940e+01,-6.4341e+01
4.0915e-03,-1.4904e+00,4.0300e+00,9.8073e+00,2.9941e+01,-6.3832e+01
-3.1670e-04,-1.5004e+00,4.0263e+00,9.8100e+00,2.9933e+01,-6.0400e+01
5.6902e-03,-1.4935e+00,4.0269e+00,9.8184e+00,2.9934e+01,-6.1556e+01
-1.9195e-03,-1.4928e+00,4.0339e+00,9.7863e+00,2.9950e+01,-6.5040e+01
3.1432e-03,-1.4999e+00,4.0301e+00,9.8008e+00,2.9942e+01,-6.3715e+01
6.2943e-03,-1.4956e+00,4.0261e+00,9.7969e+00,2.9932e+01,-6.4524e+01
2.2496e-03,-1.4971e+00,4.0326e+00,9.8108e+00,2.9948e+01,-6.3799e+01
-3.6701e-03,-1.4905e+00,4.0320e+00,9.7795e+00,2.9946e+01,-6.3743e+01
9.5021e-03,-1.4948e+00,4.0312e+00,9.8155e+00,2.9944e+01,-6.4455e+01
5.8774e-03,-1.4939e+00,4.0295e+00,9.8181e+00,2.9940e+01,-6.5288e+01
3.6514e-04,-1.4934e+00,4.0263e+00,9.8245e+00,2.9931e+01,-6.3030e+01
3.1954e-03,-1.4919e+00,4.0322e+00,9.8184e+00,2.9946e+01,-6.4217e+01
-1.1555e-03,-1.4935e+00,4.0323e+00,9.7891e+00,2.9946e+01,-6.5223e+01
8.4239e-03,-1.4975e+00,4.0322e+00,9.8077e+00,2.9947e+01,-6.3475e+01
8.5335e-03,-1.4934e+00,4.0323e+00,9.7818e+00,2.9946e+01,-6.2958e+01
7.6132e-03,-1.4905e+00,4.0254e+00,9.8146e+00,2.9929e+01,-6.1816e+01
1.9939e-03,-1.4949e+00,4.0364e+00,9.7833e+00,2.9957e+01,-6.4160e+01
7.6058e-03,-1.4959e+00,4.0265e+00,9.7841e+00,2.9933e+01,-6.5163e+01
8.7764e-03,-1.4941e+00,4.0313e+00,9.7877e+00,2.9944e+01,-6.4974e+01
-3.3595e-03,-1.4944e+00,4.0363e+00,9.8175e+00,2.9956e+01,-5.9273e+01
2.3196e-03,-1.5037e+00,4.0310e+00,9.8070e+00,2.9945e+01,-6.4967e+01
-1.0157e-03,-1.4992e+00,4.0298e+00,9.7947e+00,2.9942e+01,-6.4879e+01
7.9590e-03,-1.4931e+00,4.0384e+00,9.7790e+00,2.9961e+01,-6.3652e+01
-1.1626e-03,-1.4959e+00,4.0254e+00,9.7951e+00,2.9930e+01,-6.5094e+01
-1.8103e-03,-1.5000e+00,4.0270e+00,9.7995e+00,2.9934e+01,-6.4249e+01
-7.5755e-03,-1.5049e+00,4.0298e+00,9.7785e+00,2.9943e+01,-6.5144e+01
9.6230e-03,-1.4987e+00,4.0269e+00,9.7944e+00,2.9934e+01,-6.2197e+01
6.8156e-03,-1.4938e+00,4.0284e+00,9.7848e+00,2.9936e+01,-6.5033e+01
-6.3900e-03,-1.5024e+00,4.0307e+00,9.8091e+00,2.9945e+01,-6.4526e+01
