niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4902e+05,-1.4902e+05,-2.4969e-03,-1.4902e+05,1.2922e-01,6.6871e+00,inf,5.7249e-01,-5.9412e-01,-1.2165e+00,-8.7300e-01,2.6208e+00,3.9124e+00,3.8768e+00,6.4135e+00,2.9715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4840e+05,-1.4841e+05,-4.9938e-03,-1.4841e+05,1.2924e-01,6.6896e+00,1.4152e+05,1.3221e+00,1.4012e-01,-7.5109e-01,9.7346e-01,1.9416e+00,2.7282e+00,1.7092e+00,6.3919e+00,2.9283e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4789e+05,-1.4790e+05,-7.4906e-03,-1.4790e+05,1.2926e-01,6.6921e+00,1.4091e+05,1.8818e+00,-1.9678e-01,-1.3328e+00,-1.1779e+00,2.1902e+00,4.2355e+00,5.4790e+00,6.1556e+00,2.9739e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4744e+05,-1.4744e+05,-9.9875e-03,-1.4744e+05,1.2929e-01,6.6946e+00,1.4039e+05,2.6388e+00,-7.4482e-01,-9.2243e-01,2.2129e+00,2.8345e-01,4.2725e+00,4.6255e+00,6.1022e+00,2.9151e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4742e+05,-1.4743e+05,-1.2484e-02,-1.4743e+05,1.2931e-01,6.6971e+00,1.3994e+05,3.3858e+00,4.7627e-01,-1.0842e+00,1.3405e+00,2.3841e+00,2.5856e+00,2.3515e+00,6.3594e+00,2.9384e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4712e+05,-1.4713e+05,-1.4981e-02,-1.4713e+05,1.2934e-01,6.6996e+00,1.3993e+05,3.9720e+00,-4.3809e-01,-1.9054e+00,4.4952e-01,2.6451e+00,3.4484e+00,2.3861e+00,5.8870e+00,2.9115e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4700e+05,-1.4701e+05,-1.7478e-02,-1.4701e+05,1.2936e-01,6.7021e+00,1.3962e+05,4.5611e+00,-9.0637e-01,-1.6110e+00,8.6241e-01,1.7378e+00,4.1061e+00,1.8303e+00,6.2618e+00,3.0360e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4683e+05,-1.4684e+05,-1.9975e-02,-1.4684e+05,1.2939e-01,6.7046e+00,1.3950e+05,5.1362e+00,3.5482e-01,-8.8113e-01,1.2752e-01,-1.9641e-01,3.0213e+00,4.7131e+00,6.1420e+00,2.9438e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4676e+05,-1.4676e+05,-2.2472e-02,-1.4676e+05,1.2941e-01,6.7071e+00,1.3934e+05,5.7205e+00,-4.1416e-01,-7.7647e-01,2.6283e+00,3.4487e+00,7.7219e-01,2.0824e+00,6.3574e+00,2.9578e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4646e+05,-1.4647e+05,-2.4969e-02,-1.4647e+05,1.2943e-01,6.7096e+00,1.3926e+05,6.4062e+00,-1.6083e-01,-1.8590e+00,1.8955e+00,1.8099e+00,1.1368e+00,4.1947e+00,6.1680e+00,2.9792e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.4624e+05,-1.4625e+05,-2.7466e-02,-1.4625e+05,1.2946e-01,6.7121e+00,1.3896e+05,6.9816e+00,4.9157e-01,-1.1494e+00,2.1799e+00,1.3090e-01,1.0519e+00,2.9310e+00,6.2544e+00,2.9415e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.4611e+05,-1.4611e+05,-2.9963e-02,-1.4611e+05,1.2948e-01,6.7146e+00,1.3874e+05,7.5482e+00,-3.7116e-01,-1.1470e+00,-1.0995e+00,3.7487e+00,2.8523e+00,4.7265e+00,6.1609e+00,3.0366e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.4589e+05,-1.4590e+05,-3.2459e-02,-1.4590e+05,1.2951e-01,6.7171e+00,1.3861e+05,8.3057e+00,-5.8994e-02,-1.6075e+00,1.0639e+00,1.9858e+00,1.1776e+00,4.2369e+00,6.2084e+00,3.0427e+01
1.4000e+01,1.0000e+00,3.3816e+00,-1.4589e+05,-1.4589e+05,-3.4956e-02,-1.4589e+05,1.2719e-01,6.4793e+00,1.3839e+05,8.8859e+00,-9.8817e-01,-1.0616e+00,1.0409e+00,7.0707e-01,3.1191e+00,5.5218e+00,5.1724e+00,2.9521e+01
1.5000e+01,1.0000e+00,3.6145e+00,-1.4582e+05,-1.4583e+05,-3.7453e-02,-1.4583e+05,1.2955e-01,6.7221e+00,1.3839e+05,9.4385e+00,-9.0816e-01,-1.9653e+00,7.6325e-01,8.3258e-01,2.1575e+00,5.5030e+00,5.6266e+00,3.0137e+01
1.6000e+01,1.0000e+00,3.8462e+00,-1.4570e+05,-1.4571e+05,-3.9950e-02,-1.4571e+05,1.2958e-01,6.7246e+00,1.3833e+05,1.0203e+01,-8.0872e-01,-1.8307e+00,1.6553e+00,7.2371e-01,3.9826e+00,2.9226e+00,5.9317e+00,2.9946e+01
