logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.4785e-01,-1.2512e+00,-3.2459e-01,2.2162e+00,5.3870e-01,2.2060e+00,3.8034e+00,2.9481e+01,-7.2226e+02
6.1013e-02,-1.9007e+00,-3.2495e-01,2.2612e+00,9.9115e-01,3.5152e+00,3.5120e+00,2.9644e+01,-7.9943e+02
1.5126e-01,-1.3877e+00,-4.1847e-01,2.0239e+00,2.1670e+00,2.9763e+00,3.4142e+00,2.8904e+01,-6.7485e+02
1.7152e-01,-1.5565e+00,3.8835e-01,2.0867e+00,1.6763e+00,2.4091e+00,3.6473e+00,2.8972e+01,-5.7780e+02
1.1066e-01,-1.6132e+00,-8.9265e-01,2.0343e+00,2.1165e+00,2.5227e+00,3.5866e+00,2.8934e+01,-8.2946e+02
2.1834e-01,-1.8727e+00,-6.8320e-01,2.2183e+00,1.8717e+00,3.0787e+00,3.5694e+00,2.9174e+01,-7.6917e+02
-5.5801e-03,-1.3764e+00,-8.6963e-01,2.2456e+00,1.4995e+00,3.1194e+00,3.6337e+00,2.9393e+01,-6.1730e+02
2.3442e-02,-1.3666e+00,-1.3115e-01,2.2910e+00,1.6028e+00,2.6819e+00,3.7949e+00,2.9447e+01,-6.1152e+02
-2.0589e-01,-1.7487e+00,6.9107e-01,2.1524e+00,1.9529e+00,1.7291e+00,3.8246e+00,2.9571e+01,-6.4613e+02
-1.0694e-01,-1.5996e+00,1.1159e+00,2.2589e+00,2.2680e+00,3.2331e+00,3.8489e+00,2.9958e+01,-8.0593e+02
1.1975e-01,-1.0774e+00,3.1977e-01,2.4242e+00,2.0881e+00,1.8962e+00,3.9040e+00,2.9618e+01,-6.6939e+02
2.2027e-02,-1.1463e+00,-1.2255e+00,2.2054e+00,1.9628e+00,3.4480e+00,3.2322e+00,2.9371e+01,-7.3897e+02
-3.3099e-02,-1.0577e+00,3.2968e-01,2.3540e+00,1.8940e+00,2.1376e+00,3.8622e+00,2.9582e+01,-5.8824e+02
8.3413e-02,-1.0962e+00,-1.8990e-01,2.3196e+00,1.6071e+00,2.8631e+00,3.6956e+00,2.9290e+01,-8.1837e+02
1.3822e-01,-1.5695e+00,4.8972e-01,1.9781e+00,1.4309e+00,3.1359e+00,3.4452e+00,2.8980e+01,-8.1035e+02
-3.3332e-02,-1.0738e+00,-7.0288e-01,2.2154e+00,1.0137e+00,2.0013e+00,3.7045e+00,2.9150e+01,-4.5742e+02
-6.3357e-03,-1.2601e+00,3.8298e-01,2.2693e+00,1.0189e+00,3.2723e+00,3.5988e+00,2.9469e+01,-7.2834e+02
1.8112e-01,-1.2643e+00,-5.0900e-01,2.0770e+00,2.1945e+00,3.3782e+00,3.1586e+00,2.9116e+01,-6.8321e+02
1.9856e-01,-1.8850e+00,-1.0307e+00,2.1765e+00,1.2636e+00,2.7130e+00,3.6585e+00,2.9098e+01,-4.7010e+02
2.2345e-01,-1.9169e+00,-7.5084e-01,2.0178e+00,2.6708e+00,1.9766e+00,3.5048e+00,2.8958e+01,-7.1961e+02
-1.4909e-01,-1.9162e+00,-7.4589e-01,2.1986e+00,1.1784e+00,2.5433e+00,3.7651e+00,2.9450e+01,-6.6833e+02
-1.6478e-01,-1.8838e+00,-2.8823e-01,2.2171e+00,1.3442e+00,2.1404e+00,3.8324e+00,2.9541e+01,-6.5782e+02
-1.2240e-02,-1.7952e+00,-5.8032e-01,2.0648e+00,5.9022e-01,2.0854e+00,3.6162e+00,2.8928e+01,-7.7759e+02
2.2331e-01,-1.5222e+00,-1.0865e+00,2.1695e+00,2.0266e+00,2.8287e+00,3.5956e+00,2.9050e+01,-3.7420e+02
1.5147e-01,-1.8538e+00,-1.0937e+00,2.3245e+00,2.2744e+00,2.5472e+00,3.8442e+00,2.9564e+01,-6.7558e+02
1.5259e-01,-1.8635e+00,1.4304e-01,2.1210e+00,2.6823e+00,3.5457e+00,2.8614e+00,2.9521e+01,-8.2322e+02
2.3563e-01,-1.2057e+00,4.6742e-01,2.3546e+00,1.8199e+00,3.6680e+00,3.0580e+00,2.9597e+01,-7.5633e+02
7.5424e-02,-1.1326e+00,-1.1677e+00,2.3367e+00,7.1942e-01,3.2030e+00,3.7029e+00,2.9489e+01,-5.8841e+02
2.0124e-01,-1.4594e+00,-8.5545e-01,2.1845e+00,1.9292e+00,1.7637e+00,3.6755e+00,2.9030e+01,-4.7695e+02
2.3842e-01,-1.1445e+00,-4.7110e-01,2.2765e+00,2.4969e+00,2.4862e+00,3.6839e+00,2.9250e+01,-5.2738e+02
1.7443e-01,-1.4822e+00,-6.3853e-01,2.2526e+00,2.0339e+00,2.2932e+00,3.7770e+00,2.9306e+01,-5.8196e+02
1.5227e-01,-1.2894e+00,5.3170e-01,2.2336e+00,2.1583e+00,3.4277e+00,3.5032e+00,2.9467e+01,-7.9719e+02
9.7424e-02,-1.5065e+00,3.6102e-01,2.1033e+00,2.2776e+00,2.9738e+00,3.5388e+00,2.9172e+01,-6.1979e+02
1.7765e-01,-1.1454e+00,-1.2135e+00,2.2149e+00,1.2517e+00,3.4440e+00,3.2050e+00,2.9210e+01,-4.1507e+02
2.4000e-01,-1.0471e+00,-6.0970e-01,2.0471e+00,2.6824e+00,2.8549e+00,3.3281e+00,2.8884e+01,-6.6308e+02
1.1479e-01,-1.9359e+00,-6.9925e-01,2.1314e+00,1.5930e+00,3.3550e+00,3.4289e+00,2.9287e+01,-5.2181e+02
1.7957e-01,-1.7910e+00,-5.4044e-01,2.3297e+00,1.1651e+00,3.2581e+00,3.6490e+00,2.9469e+01,-8.3125e+02
1.6213e-01,-1.5229e+00,-3.1346e-01,2.2728e+00,2.5352e+00,2.8024e+00,3.7674e+00,2.9517e+01,-7.1760e+02
1.2764e-01,-1.8734e+00,-5.6976e-01,2.2132e+00,2.0758e+00,2.5131e+00,3.7469e+00,2.9307e+01,-4.2989e+02
-9.7287e-02,-1.2262e+00,5.8322e-01,2.3044e+00,1.7583e+00,1.6337e+00,3.8473e+00,2.9581e+01,-7.2877e+02
2.1221e-01,-1.3947e+00,8.6822e-01,2.2211e+00,1.8959e+00,1.7650e+00,3.8108e+00,2.9313e+01,-7.9455e+02
6.7055e-02,-1.5844e+00,-1.2240e+00,2.2114e+00,1.6724e+00,3.2955e+00,3.5186e+00,2.9371e+01,-5.6213e+02
4.3137e-03,-1.8179e+00,5.5016e-02,2.0968e+00,2.1352e+00,3.0909e+00,3.5062e+00,2.9232e+01,-8.3120e+02
2.9656e-02,-1.7694e+00,8.6384e-01,2.1398e+00,2.2902e+00,2.2398e+00,3.8257e+00,2.9496e+01,-7.6692e+02
-5.5817e-02,-1.5378e+00,7.4849e-02,2.1682e+00,9.0043e-01,3.1589e+00,3.6482e+00,2.9446e+01,-7.8325e+02
1.3131e-01,-1.8493e+00,-6.9784e-01,2.2227e+00,2.0150e+00,2.9543e+00,3.6550e+00,2.9301e+01,-5.5868e+02
-7.9082e-02,-1.5022e+00,-5.1741e-01,2.0969e+00,5.6465e-01,3.0065e+00,3.6189e+00,2.9266e+01,-7.4619e+02
1.0569e-01,-1.4574e+00,6.5402e-01,2.2755e+00,1.3826e+00,1.8875e+00,3.8689e+00,2.9455e+01,-6.3696e+02
-1.0213e-01,-1.5521e+00,4.4684e-01,2.1015e+00,8.7473e-01,2.5223e+00,3.7175e+00,2.9269e+01,-5.2390e+02
6.4218e-02,-1.2660e+00,1.9009e-01,2.1919e+00,2.5040e+00,2.1742e+00,3.6584e+00,2.9244e+01,-6.9165e+02
2.0147e-01,-1.0372e+00,-1.1039e+00,2.1990e+00,2.5511e+00,3.4704e+00,3.0095e+00,2.9316e+01,-6.4487e+02
-2.0133e-01,-1.3890e+00,9.7052e-01,2.0833e+00,1.6852e+00,2.6123e+00,3.7625e+00,2.9472e+01,-7.9934e+02
7.3157e-02,-1.4964e+00,-6.9691e-01,2.1568e+00,8.1740e-01,1.6803e+00,3.7057e+00,2.9047e+01,-5.8906e+02
1.9793e-01,-1.4489e+00,2.0661e-01,2.0555e+00,2.0940e+00,2.9333e+00,3.5435e+00,2.8991e+01,-7.2571e+02
-1.3023e-01,-1.8649e+00,-1.0071e-01,2.1020e+00,1.0848e+00,2.4912e+00,3.6850e+00,2.9229e+01,-6.4558e+02
-3.1445e-01,-1.8614e+00,1.1032e+00,2.0296e+00,2.2782e+00,1.6357e+00,3.8943e+00,2.9817e+01,-8.1052e+02
2.0069e-01,-1.1052e+00,3.2734e-01,2.2894e+00,2.4309e+00,2.8156e+00,3.6954e+00,2.9349e+01,-5.6208e+02
1.9452e-02,-1.0589e+00,1.0290e+00,2.4260e+00,2.8352e+00,2.8865e+00,3.8734e+00,2.9976e+01,-7.3292e+02
-2.4525e-01,-1.3101e+00,8.8025e-01,2.1228e+00,1.1674e+00,2.9415e+00,3.7803e+00,2.9597e+01,-6.8007e+02
1.5281e-03,-1.7893e+00,-7.3949e-01,2.0405e+00,2.0926e+00,2.3096e+00,3.6079e+00,2.9033e+01,-7.3206e+02
6.6922e-02,-1.0478e+00,9.6165e-01,2.3998e+00,2.7418e+00,3.1650e+00,3.8297e+00,2.9898e+01,-7.4448e+02
2.0895e-01,-1.4614e+00,-1.1403e+00,2.2758e+00,6.5243e-01,2.1613e+00,3.7992e+00,2.9283e+01,-8.1388e+02
-1.5689e-01,-1.0671e+00,1.0704e+00,2.3289e+00,1.5528e+00,3.3857e+00,3.8142e+00,2.9937e+01,-7.6800e+02
9.6096e-02,-1.7420e+00,-3.5129e-01,2.1570e+00,9.6154e-01,3.3838e+00,3.3888e+00,2.9290e+01,-5.2383e+02
2.2214e-01,-1.6583e+00,3.5956e-01,1.9596e+00,8.2699e-01,3.4215e+00,2.9762e+00,2.8962e+01,-7.6575e+02
9.4406e-02,-1.5084e+00,6.7819e-01,2.3076e+00,2.5681e+00,2.0640e+00,3.8806e+00,2.9669e+01,-7.0447e+02
-2.5984e-01,-1.8248e+00,5.6295e-01,2.1935e+00,1.7045e+00,1.9169e+00,3.8664e+00,2.9687e+01,-7.3104e+02
1.6514e-01,-1.5717e+00,-3.8782e-01,1.9699e+00,2.8579e+00,2.9667e+00,3.3519e+00,2.9215e+01,-8.2708e+02
3.1804e-02,-1.1881e+00,-2.3621e-01,2.3667e+00,1.8197e+00,2.5762e+00,3.8318e+00,2.9561e+01,-7.2315e+02
-3.2684e-02,-1.0142e+00,-3.5878e-01,2.1741e+00,1.8392e+00,2.7637e+00,3.6092e+00,2.9111e+01,-6.7197e+02
1.1826e-01,-1.9693e+00,6.4790e-02,1.9588e+00,8.7219e-01,3.2970e+00,3.1399e+00,2.8912e+01,-6.3558e+02
1.9429e-01,-1.3160e+00,-1.5228e-01,2.3117e+00,1.4161e+00,3.4638e+00,3.4606e+00,2.9436e+01,-7.7395e+02
1.1519e-01,-1.0888e+00,-3.1589e-01,2.2431e+00,4.6337e-01,1.7998e+00,3.7028e+00,2.9048e+01,-4.7358e+02
1.7553e-01,-1.2715e+00,-9.1695e-01,2.1700e+00,9.7438e-01,1.7991e+00,3.6699e+00,2.8922e+01,-5.8492e+02
1.3328e-01,-1.0932e+00,8.1615e-01,2.0734e+00,1.7804e+00,3.4100e+00,3.1606e+00,2.9129e+01,-7.9596e+02
-6.0626e-02,-1.5544e+00,-6.4751e-01,2.1848e+00,1.4099e+00,1.9568e+00,3.7314e+00,2.9242e+01,-6.4625e+02
1.6411e-01,-1.6088e+00,1.9886e-01,2.1461e+00,2.0089e+00,1.7568e+00,3.7124e+00,2.9097e+01,-5.0453e+02
2.0549e-01,-1.6111e+00,-4.6146e-01,2.1394e+00,1.2736e+00,2.7775e+00,3.6085e+00,2.8988e+01,-3.9341e+02
2.0621e-01,-1.6018e+00,-2.7886e-01,2.0847e+00,1.6721e+00,3.4600e+00,3.0625e+00,2.9148e+01,-5.2621e+02
-1.6625e-01,-1.8133e+00,2.0086e-01,2.1551e+00,1.9586e+00,1.8153e+00,3.7673e+00,2.9425e+01,-7.1265e+02
5.2690e-02,-1.2512e+00,8.1733e-01,2.2552e+00,2.0370e+00,2.2994e+00,3.8387e+00,2.9512e+01,-6.9457e+02
1.2483e-01,-1.2501e+00,-6.7854e-01,2.3838e+00,8.5509e-01,2.5510e+00,3.8603e+00,2.9502e+01,-6.3576e+02
-7.0166e-02,-1.0919e+00,5.5079e-01,2.2642e+00,2.1856e+00,2.1698e+00,3.8200e+00,2.9519e+01,-7.3094e+02
4.8406e-03,-1.3723e+00,-9.3970e-01,2.4274e+00,1.7511e+00,2.6041e+00,3.9244e+00,2.9769e+01,-8.0215e+02
2.3000e-01,-1.3332e+00,-3.6127e-02,2.3266e+00,1.7590e+00,1.6507e+00,3.7932e+00,2.9275e+01,-5.2334e+02
-1.3215e-01,-1.5344e+00,8.0314e-01,2.1438e+00,1.6111e+00,3.0655e+00,3.7072e+00,2.9525e+01,-6.7093e+02
5.9976e-02,-1.2073e+00,-1.9250e-01,2.1899e+00,1.6275e+00,2.8910e+00,3.6575e+00,2.9230e+01,-7.4551e+02
-1.8763e-01,-1.6753e+00,5.9298e-01,2.0145e+00,5.8569e-01,3.2135e+00,3.5958e+00,2.9438e+01,-7.4618e+02
2.5920e-02,-1.0498e+00,6.8383e-01,2.1817e+00,1.8516e+00,3.0803e+00,3.6226e+00,2.9274e+01,-7.6694e+02
-2.0752e-02,-1.6169e+00,2.6619e-01,2.2516e+00,1.9674e+00,1.8846e+00,3.7870e+00,2.9426e+01,-6.5346e+02
1.9993e-01,-1.8313e+00,4.9445e-02,2.0185e+00,2.1833e+00,3.4164e+00,3.0052e+00,2.9125e+01,-6.8079e+02
4.5277e-02,-1.9987e+00,4.4722e-01,2.1110e+00,1.9497e+00,2.5825e+00,3.7380e+00,2.9304e+01,-6.4187e+02
1.8621e-01,-1.4528e+00,2.2043e-01,2.0348e+00,2.0204e+00,2.8291e+00,3.5410e+00,2.8921e+01,-6.6904e+02
-2.9898e-02,-1.7474e+00,4.9838e-01,2.1049e+00,6.5069e-01,1.6489e+00,3.7866e+00,2.9280e+01,-8.1028e+02
1.3724e-01,-1.0395e+00,-2.6046e-01,2.2656e+00,1.5317e+00,3.2979e+00,3.4951e+00,2.9274e+01,-4.0486e+02
-3.0033e-01,-1.5938e+00,4.0139e-01,2.0478e+00,5.6560e-01,2.6829e+00,3.7159e+00,2.9395e+01,-8.0232e+02
1.7100e-01,-1.1969e+00,7.9334e-01,2.3304e+00,1.1317e+00,2.8951e+00,3.8272e+00,2.9508e+01,-6.2790e+02
1.6599e-01,-1.2850e+00,5.8095e-01,2.0696e+00,1.3962e+00,3.0986e+00,3.5124e+00,2.9034e+01,-7.1128e+02
2.0533e-01,-1.4395e+00,-1.0136e+00,2.0962e+00,5.9513e-01,2.3008e+00,3.6028e+00,2.8797e+01,-6.1897e+02
1.3651e-01,-1.1215e+00,-5.1283e-01,2.1951e+00,1.2832e+00,3.4195e+00,3.3658e+00,2.9267e+01,-7.5097e+02
1.0543e-01,-1.2437e+00,-1.0661e+00,2.3322e+00,5.8350e-01,1.8195e+00,3.7962e+00,2.9345e+01,-7.5644e+02
1.5291e-01,-1.4821e+00,3.0136e-01,2.1423e+00,1.8583e+00,2.5486e+00,3.6958e+00,2.9138e+01,-5.8283e+02
7.8457e-02,-1.2530e+00,5.4299e-01,2.3844e+00,1.3073e+00,3.3595e+00,3.7028e+00,2.9681e+01,-7.7454e+02
1.1443e-01,-1.6753e+00,-1.1802e+00,2.0448e+00,2.2206e+00,3.0042e+00,3.4750e+00,2.9051e+01,-5.8187e+02
9.5325e-02,-1.1652e+00,-7.9392e-01,2.2414e+00,1.5001e+00,2.0401e+00,3.7007e+00,2.9107e+01,-4.3166e+02
1.5890e-01,-1.0701e+00,-5.6121e-01,2.4478e+00,1.7351e+00,2.5502e+00,3.8830e+00,2.9590e+01,-7.5650e+02
1.4625e-01,-1.3342e+00,2.8478e-01,2.1876e+00,1.5889e+00,3.2788e+00,3.4334e+00,2.9184e+01,-6.9926e+02
2.1054e-01,-1.6359e+00,-8.0849e-01,2.0712e+00,1.8205e+00,3.2525e+00,3.2737e+00,2.8976e+01,-5.3930e+02
6.4761e-02,-1.7158e+00,4.5783e-01,2.2249e+00,7.0284e-01,3.2418e+00,3.6404e+00,2.9434e+01,-6.6738e+02
1.8656e-01,-1.4989e+00,6.8165e-01,2.1318e+00,7.6901e-01,3.6015e+00,3.0765e+00,2.9396e+01,-7.9266e+02
-7.3277e-02,-1.5150e+00,6.1576e-01,2.0978e+00,1.3379e+00,1.8510e+00,3.7250e+00,2.9192e+01,-8.2745e+02
-5.5566e-02,-1.8426e+00,-1.1110e+00,2.1797e+00,5.1782e-01,2.3365e+00,3.7628e+00,2.9354e+01,-7.0523e+02
7.9152e-02,-1.7887e+00,1.1377e-01,2.0395e+00,1.9865e+00,3.0448e+00,3.4944e+00,2.9086e+01,-6.1338e+02
1.3408e-02,-1.7373e+00,-2.3365e-01,2.0286e+00,1.6969e+00,2.8875e+00,3.5151e+00,2.8990e+01,-6.7161e+02
5.0598e-02,-1.1757e+00,4.3088e-01,2.3295e+00,2.1968e+00,2.3921e+00,3.7995e+00,2.9495e+01,-5.9160e+02
1.6299e-01,-1.8107e+00,8.1820e-01,2.0528e+00,1.0064e+00,3.5105e+00,3.2553e+00,2.9353e+01,-6.5492e+02
8.6024e-02,-1.6442e+00,7.8657e-01,2.1904e+00,2.8284e+00,2.3982e+00,3.7481e+00,2.9626e+01,-6.7925e+02
-1.6099e-04,-1.0833e+00,9.7263e-01,2.2405e+00,1.8357e+00,2.0985e+00,3.8560e+00,2.9518e+01,-7.4921e+02
2.3774e-01,-1.0530e+00,4.1896e-01,2.0607e+00,2.0528e+00,3.0009e+00,3.4293e+00,2.8846e+01,-8.1994e+02
7.8252e-02,-1.6273e+00,-7.0759e-01,1.9891e+00,1.4956e+00,3.2179e+00,3.2859e+00,2.8947e+01,-6.5417e+02
1.9047e-01,-1.4474e+00,-9.0144e-01,2.3464e+00,9.4371e-01,3.5348e+00,3.5232e+00,2.9616e+01,-8.2710e+02
4.1714e-02,-1.0664e+00,-6.7196e-01,2.2263e+00,2.3984e+00,1.7834e+00,3.7306e+00,2.9294e+01,-7.7060e+02
-5.2386e-02,-1.1947e+00,-5.1263e-01,2.1243e+00,9.8694e-01,2.3794e+00,3.6147e+00,2.8998e+01,-6.7497e+02
-3.1878e-01,-1.1772e+00,7.0853e-01,2.2611e+00,1.2070e+00,1.7145e+00,3.9167e+00,2.9774e+01,-7.5290e+02
1.9684e-01,-1.9473e+00,-4.7956e-01,2.1453e+00,9.6085e-01,3.1914e+00,3.5225e+00,2.9141e+01,-4.2509e+02
-1.9744e-02,-1.1703e+00,8.1181e-01,2.1717e+00,1.2203e+00,3.5693e+00,3.2978e+00,2.9555e+01,-7.6221e+02
3.0349e-02,-1.6944e+00,3.0695e-01,2.0828e+00,1.5421e+00,3.4030e+00,3.3620e+00,2.9346e+01,-6.7160e+02
9.2511e-02,-1.7034e+00,-3.8302e-01,2.2114e+00,1.0713e+00,2.8860e+00,3.7308e+00,2.9334e+01,-5.4550e+02
2.1569e-01,-1.3819e+00,-5.7288e-01,2.2512e+00,2.1311e+00,3.2267e+00,3.5665e+00,2.9335e+01,-6.0031e+02
-2.9157e-01,-1.5192e+00,3.5227e-01,2.1521e+00,1.1333e+00,1.8695e+00,3.7883e+00,2.9473e+01,-7.4881e+02
2.2635e-01,-1.2568e+00,7.9406e-01,2.2277e+00,1.6246e+00,3.6530e+00,2.8582e+00,2.9498e+01,-7.1106e+02
-1.1030e-01,-1.5218e+00,8.1040e-01,2.2156e+00,1.0845e+00,3.1374e+00,3.7896e+00,2.9672e+01,-7.5966e+02
-1.1604e-01,-1.7320e+00,2.3088e-01,2.1570e+00,7.4986e-01,2.8087e+00,3.7733e+00,2.9483e+01,-6.6781e+02
1.0937e-01,-1.6004e+00,2.6151e-01,2.0358e+00,2.2720e+00,3.4046e+00,3.0966e+00,2.9206e+01,-6.2144e+02
-1.5718e-02,-1.9799e+00,-8.5459e-01,2.2115e+00,7.4367e-01,2.5562e+00,3.8072e+00,2.9438e+01,-6.8816e+02
2.2270e-01,-1.7725e+00,-9.0716e-01,2.3274e+00,1.1901e+00,3.1100e+00,3.7570e+00,2.9466e+01,-5.9127e+02
-1.6208e-01,-1.9810e+00,-3.9507e-02,2.0904e+00,1.6504e+00,2.4951e+00,3.6862e+00,2.9267e+01,-7.9508e+02
1.9187e-01,-1.3170e+00,2.8279e-01,2.1986e+00,1.8155e+00,3.3036e+00,3.5324e+00,2.9302e+01,-6.0390e+02
1.0450e-01,-1.1915e+00,5.2344e-01,2.2999e+00,1.8445e+00,3.0746e+00,3.7456e+00,2.9489e+01,-5.3476e+02
8.3427e-02,-1.6879e+00,3.1156e-01,1.8829e+00,1.1867e+00,3.3775e+00,2.8703e+00,2.8920e+01,-8.2829e+02
-1.2692e-01,-1.6426e+00,6.0736e-01,2.1832e+00,1.0392e+00,2.6383e+00,3.7699e+00,2.9472e+01,-6.8616e+02
1.8344e-01,-1.3774e+00,7.2825e-01,2.1495e+00,1.3735e+00,3.6502e+00,2.7557e+00,2.9464e+01,-7.2012e+02
1.0790e-01,-1.4881e+00,-9.5880e-01,2.2187e+00,1.3341e+00,2.9735e+00,3.6263e+00,2.9215e+01,-4.8274e+02
1.9319e-01,-1.1585e+00,5.4615e-01,2.2096e+00,2.0376e+00,3.5808e+00,2.7699e+00,2.9377e+01,-7.2200e+02
-4.7408e-02,-1.8979e+00,-7.2867e-01,2.1726e+00,5.3791e-01,2.7146e+00,3.6971e+00,2.9287e+01,-5.5151e+02
1.4601e-01,-1.2611e+00,1.0549e-01,2.3287e+00,8.3133e-01,3.5017e+00,3.4921e+00,2.9532e+01,-7.9475e+02
1.3076e-01,-1.7855e+00,2.5494e-01,2.1406e+00,2.4342e+00,2.3444e+00,3.7507e+00,2.9335e+01,-8.0027e+02
7.4530e-02,-1.1731e+00,-2.5756e-01,2.3281e+00,7.2654e-01,2.7000e+00,3.7462e+00,2.9335e+01,-5.8215e+02
5.7338e-02,-1.4925e+00,8.5070e-01,2.2169e+00,1.4501e+00,1.9217e+00,3.8805e+00,2.9500e+01,-7.9379e+02
2.9849e-02,-1.4242e+00,8.6647e-01,2.1646e+00,1.7702e+00,3.4575e+00,3.4894e+00,2.9548e+01,-6.8159e+02
5.7439e-02,-1.8464e+00,-9.2242e-01,2.2965e+00,2.1200e+00,2.7499e+00,3.7896e+00,2.9527e+01,-5.8912e+02
-1.0126e-01,-1.4614e+00,-9.8162e-01,2.2643e+00,1.9960e+00,1.6334e+00,3.8247e+00,2.9526e+01,-6.0793e+02
-1.0126e-01,-1.0747e+00,9.2453e-01,2.2027e+00,1.0063e+00,3.3819e+00,3.5899e+00,2.9572e+01,-7.4276e+02
1.2103e-01,-1.5763e+00,-8.1099e-02,2.1455e+00,1.9597e+00,1.8505e+00,3.7280e+00,2.9161e+01,-6.7453e+02
1.0925e-01,-1.0470e+00,-1.1546e+00,2.3096e+00,9.8301e-01,2.7870e+00,3.7342e+00,2.9292e+01,-4.2609e+02
2.2344e-01,-1.4233e+00,8.3057e-01,2.2747e+00,1.8280e+00,2.9236e+00,3.7850e+00,2.9426e+01,-6.8892e+02
1.3477e-01,-1.3648e+00,9.2102e-01,2.2342e+00,2.2354e+00,2.3770e+00,3.8417e+00,2.9505e+01,-7.3292e+02
-4.3093e-01,-1.4365e+00,9.6608e-01,2.0443e+00,6.7036e-01,2.8086e+00,3.8219e+00,2.9701e+01,-7.7886e+02
-8.5995e-02,-1.6613e+00,-7.3816e-01,2.1395e+00,1.7011e+00,1.9495e+00,3.6829e+00,2.9170e+01,-8.0810e+02
1.3303e-01,-1.9637e+00,5.2471e-01,2.1447e+00,1.3970e+00,2.6651e+00,3.7161e+00,2.9220e+01,-5.1484e+02
3.3667e-02,-1.2135e+00,-7.1285e-01,2.3277e+00,1.5124e+00,1.9231e+00,3.7987e+00,2.9372e+01,-5.7391e+02
-3.2286e-02,-1.3304e+00,4.2522e-01,2.3370e+00,1.8662e+00,2.1367e+00,3.8574e+00,2.9616e+01,-8.2940e+02
1.5282e-01,-1.2361e+00,-3.4950e-01,2.2320e+00,1.2638e+00,2.7780e+00,3.6859e+00,2.9180e+01,-4.5761e+02
5.5663e-02,-1.2404e+00,8.8873e-01,2.1425e+00,2.8757e+00,2.7661e+00,3.6587e+00,2.9589e+01,-7.2645e+02
2.2032e-01,-1.4689e+00,-2.5815e-01,2.0353e+00,2.0788e+00,2.9173e+00,3.4973e+00,2.8882e+01,-7.9598e+02
1.7417e-01,-1.4458e+00,-1.0894e+00,2.2256e+00,8.9712e-01,1.8519e+00,3.7842e+00,2.9193e+01,-8.1973e+02
-3.6780e-01,-1.1296e+00,6.7955e-01,2.2583e+00,1.6187e+00,2.6723e+00,3.8563e+00,2.9749e+01,-8.0690e+02
2.4115e-01,-1.4294e+00,-8.5777e-01,2.1559e+00,6.6723e-01,2.8054e+00,3.5858e+00,2.8929e+01,-4.4933e+02
-3.2185e-01,-1.0209e+00,9.2284e-01,2.2449e+00,2.1179e+00,3.1308e+00,3.8017e+00,2.9853e+01,-8.0633e+02
2.3868e-01,-1.2270e+00,-1.2385e+00,2.2455e+00,2.7550e+00,1.8571e+00,3.6412e+00,2.9266e+01,-7.6337e+02
2.7667e-02,-1.4790e+00,9.6701e-01,2.1318e+00,8.6076e-01,3.0212e+00,3.7579e+00,2.9478e+01,-7.5090e+02
1.0846e-01,-1.5356e+00,1.1272e-01,2.0203e+00,2.2438e+00,2.0042e+00,3.6032e+00,2.8957e+01,-7.7856e+02
2.3337e-01,-1.9057e+00,-6.0686e-01,2.1116e+00,1.2408e+00,3.1004e+00,3.4335e+00,2.8954e+01,-7.0594e+02
-2.3619e-01,-1.4467e+00,8.2376e-01,2.0885e+00,9.8043e-01,2.3323e+00,3.7526e+00,2.9388e+01,-7.8182e+02
-1.1087e-01,-1.7009e+00,7.7963e-01,2.0624e+00,6.8479e-01,2.5216e+00,3.7925e+00,2.9417e+01,-8.2827e+02
2.2732e-01,-1.4180e+00,7.3480e-01,2.0071e+00,2.8699e+00,3.0720e+00,3.4564e+00,2.9343e+01,-6.4249e+02
7.2902e-03,-1.4175e+00,2.6200e-01,2.0597e+00,1.7047e+00,3.5197e+00,2.8703e+00,2.9305e+01,-7.2478e+02
1.1707e-01,-1.3535e+00,3.5236e-02,2.1050e+00,1.6357e+00,3.2919e+00,3.3488e+00,2.9106e+01,-4.7515e+02
1.0176e-01,-1.0121e+00,-2.7803e-01,2.0890e+00,1.9401e+00,2.3000e+00,3.5420e+00,2.8789e+01,-7.6058e+02
1.6706e-01,-1.5306e+00,-3.2399e-01,2.3027e+00,1.6608e+00,2.0666e+00,3.7877e+00,2.9333e+01,-7.2632e+02
6.0060e-02,-1.8569e+00,-8.3738e-01,2.0878e+00,1.8555e+00,3.4395e+00,3.1714e+00,2.9281e+01,-6.7732e+02
1.0777e-01,-1.2313e+00,-5.1297e-01,2.1740e+00,1.9292e+00,3.5538e+00,2.9259e+00,2.9366e+01,-7.1550e+02
1.0948e-01,-1.3402e+00,7.3094e-02,2.1371e+00,6.4781e-01,3.5505e+00,2.8023e+00,2.9292e+01,-6.9319e+02
-1.9734e-01,-1.9267e+00,4.4163e-01,2.0593e+00,1.4679e+00,1.9620e+00,3.7306e+00,2.9317e+01,-8.2893e+02
2.0119e-01,-1.8568e+00,-1.6329e-01,2.0748e+00,7.0761e-01,3.2912e+00,3.2063e+00,2.8948e+01,-7.9906e+02
-6.0929e-02,-1.0008e+00,-1.2471e+00,2.3529e+00,1.6262e+00,2.3433e+00,3.8350e+00,2.9510e+01,-6.5300e+02
