niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.3614e+05,-1.3614e+05,-2.4969e-03,-1.3614e+05,1.2922e-01,6.6871e+00,inf,1.6589e+00,-5.9412e-01,-1.2165e+00,-8.7300e-01,2.6208e+00,3.9124e+00,3.8768e+00,6.4135e+00,2.9715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.3554e+05,-1.3555e+05,-4.9938e-03,-1.3555e+05,1.2924e-01,6.6896e+00,1.3051e+05,3.0388e+00,1.4012e-01,-7.5109e-01,9.7346e-01,1.9416e+00,2.7282e+00,1.7092e+00,6.3919e+00,2.9283e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.3476e+05,-1.3476e+05,-7.4906e-03,-1.3476e+05,1.2926e-01,6.6921e+00,1.2992e+05,4.4996e+00,4.7627e-01,-1.0842e+00,1.3405e+00,2.3841e+00,2.5856e+00,2.3515e+00,6.3594e+00,2.9384e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.3446e+05,-1.3447e+05,-9.9875e-03,-1.3447e+05,1.2929e-01,6.6946e+00,1.2913e+05,6.0331e+00,-1.9678e-01,-1.3328e+00,-1.1779e+00,2.1902e+00,4.2355e+00,5.4790e+00,6.1556e+00,2.9739e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.3356e+05,-1.3356e+05,-1.2484e-02,-1.3356e+05,1.2931e-01,6.6971e+00,1.2884e+05,7.3684e+00,-9.0637e-01,-1.6110e+00,8.6241e-01,1.7378e+00,4.1061e+00,1.8303e+00,6.2618e+00,3.0360e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.3318e+05,-1.3319e+05,-1.4981e-02,-1.3319e+05,1.2934e-01,6.6996e+00,1.2793e+05,8.8851e+00,-7.4482e-01,-9.2243e-01,2.2129e+00,2.8345e-01,4.2725e+00,4.6255e+00,6.1022e+00,2.9151e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.3308e+05,-1.3309e+05,-1.7478e-02,-1.3309e+05,1.2936e-01,6.7021e+00,1.2756e+05,1.0328e+01,3.5482e-01,-8.8113e-01,1.2752e-01,-1.9641e-01,3.0213e+00,4.7131e+00,6.1420e+00,2.9438e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.3281e+05,-1.3282e+05,-1.9975e-02,-1.3282e+05,1.2939e-01,6.7046e+00,1.2746e+05,1.1820e+01,-1.6083e-01,-1.8590e+00,1.8955e+00,1.8099e+00,1.1368e+00,4.1947e+00,6.1680e+00,2.9792e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.3232e+05,-1.3233e+05,-2.2472e-02,-1.3233e+05,1.2941e-01,6.7071e+00,1.2719e+05,1.3335e+01,-4.3809e-01,-1.9054e+00,4.4952e-01,2.6451e+00,3.4484e+00,2.3861e+00,5.8870e+00,2.9115e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.3227e+05,-1.3228e+05,-2.4969e-02,-1.3228e+05,1.2943e-01,6.7096e+00,1.2669e+05,1.4946e+01,4.9157e-01,-1.1494e+00,2.1799e+00,1.3090e-01,1.0519e+00,2.9310e+00,6.2544e+00,2.9415e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.3226e+05,-1.3226e+05,-2.7466e-02,-1.3226e+05,1.2945e-01,6.7114e+00,1.2664e+05,1.6387e+01,-9.0816e-01,-1.9653e+00,7.6325e-01,8.3258e-01,2.1575e+00,5.5030e+00,5.6266e+00,3.0137e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.3215e+05,-1.3216e+05,-2.9963e-02,-1.3216e+05,1.2948e-01,6.7146e+00,1.2663e+05,1.7859e+01,-3.7116e-01,-1.1470e+00,-1.0995e+00,3.7487e+00,2.8523e+00,4.7265e+00,6.1609e+00,3.0366e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.3208e+05,-1.3208e+05,-3.2459e-02,-1.3208e+05,1.2951e-01,6.7171e+00,1.2653e+05,1.9199e+01,-5.8994e-02,-1.6075e+00,1.0639e+00,1.9858e+00,1.1776e+00,4.2369e+00,6.2084e+00,3.0427e+01
1.4000e+01,1.0000e+00,3.3816e+00,-1.3193e+05,-1.3194e+05,-3.4956e-02,-1.3194e+05,1.2953e-01,6.7196e+00,1.2645e+05,2.0685e+01,-9.8817e-01,-1.0616e+00,1.0409e+00,7.0707e-01,3.1191e+00,5.5218e+00,5.1724e+00,2.9521e+01
1.5000e+01,1.0000e+00,3.6145e+00,-1.3192e+05,-1.3193e+05,-3.7453e-02,-1.3193e+05,1.2943e-01,6.7089e+00,1.2630e+05,2.2026e+01,-4.1416e-01,-7.7647e-01,2.6283e+00,3.4487e+00,7.7219e-01,2.0824e+00,6.3574e+00,2.9578e+01
1.6000e+01,1.0000e+00,3.8462e+00,-1.3180e+05,-1.3181e+05,-3.9950e-02,-1.3181e+05,1.2958e-01,6.7246e+00,1.2630e+05,2.3587e+01,2.7714e-01,-1.3851e+00,-2.2072e-01,2.7854e+00,3.5406e+00,4.7578e+00,6.2267e+00,3.0601e+01
1.7000e+01,1.0000e+00,4.0767e+00,-1.3161e+05,-1.3161e+05,-4.2447e-02,-1.3161e+05,1.2960e-01,6.7271e+00,1.2617e+05,2.5104e+01,-8.0872e-01,-1.8307e+00,1.6553e+00,7.2371e-01,3.9826e+00,2.9226e+00,5.9317e+00,2.9946e+01
