niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.3185e+05,-1.3185e+05,-2.4969e-03,-1.3185e+05,1.2922e-01,6.6871e+00,inf,2.8711e+00,-5.9412e-01,-1.2165e+00,-6.6360e-01,2.8002e+00,3.9983e+00,3.6511e+00,5.8351e+00,2.8715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.3079e+05,-1.3080e+05,-4.9938e-03,-1.3080e+05,1.2924e-01,6.6896e+00,1.2437e+05,5.2457e+00,-1.9678e-01,-1.3328e+00,-9.6847e-01,2.3696e+00,4.3213e+00,5.2533e+00,5.5773e+00,2.8739e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.2975e+05,-1.2976e+05,-7.4906e-03,-1.2976e+05,1.2926e-01,6.6921e+00,1.2331e+05,7.7567e+00,1.4012e-01,-7.5109e-01,1.1829e+00,2.1211e+00,2.8140e+00,1.4835e+00,5.8136e+00,2.8283e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.2827e+05,-1.2827e+05,-9.9875e-03,-1.2827e+05,1.2929e-01,6.6946e+00,1.2227e+05,1.0386e+01,-9.0637e-01,-1.6110e+00,1.0718e+00,1.9172e+00,4.1919e+00,1.6046e+00,5.6835e+00,2.9360e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.2790e+05,-1.2791e+05,-1.2484e-02,-1.2791e+05,1.2931e-01,6.6971e+00,1.2079e+05,1.2658e+01,4.7627e-01,-1.0842e+00,1.5499e+00,2.5635e+00,2.6714e+00,2.1258e+00,5.7811e+00,2.8384e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.2770e+05,-1.2770e+05,-1.4981e-02,-1.2770e+05,1.2934e-01,6.6996e+00,1.2042e+05,1.5247e+01,3.5482e-01,-8.8113e-01,3.3692e-01,-1.6971e-02,3.1071e+00,4.4875e+00,5.5637e+00,2.8438e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.2670e+05,-1.2671e+05,-1.7478e-02,-1.2671e+05,1.2936e-01,6.7021e+00,1.2022e+05,1.7686e+01,2.7714e-01,-1.3851e+00,-1.1330e-02,2.9648e+00,3.6264e+00,4.5321e+00,5.6483e+00,2.9601e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.2668e+05,-1.2668e+05,-1.9975e-02,-1.2668e+05,1.2939e-01,6.7046e+00,1.1922e+05,2.0229e+01,-9.0816e-01,-1.9653e+00,9.7264e-01,1.0120e+00,2.2433e+00,5.2774e+00,5.0483e+00,2.9137e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.2664e+05,-1.2665e+05,-2.2472e-02,-1.2665e+05,1.2941e-01,6.7071e+00,1.1920e+05,2.2797e+01,4.9198e-01,-1.7308e+00,2.1327e-01,2.2188e+00,4.9950e-01,4.9855e+00,5.7662e+00,3.0228e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.2628e+05,-1.2628e+05,-2.4969e-02,-1.2628e+05,1.2943e-01,6.7096e+00,1.1916e+05,2.5650e+01,-9.1195e-01,-1.9115e+00,-8.4903e-01,2.0096e+00,2.0821e+00,5.3815e+00,2.2915e+00,2.9310e+01
1.1000e+01,2.0000e+00,2.6699e+00,-1.2532e+05,-1.2533e+05,-2.7466e-02,-1.2533e+05,1.2946e-01,6.7121e+00,1.1880e+05,3.0535e+01,-3.7116e-01,-1.1470e+00,-8.9008e-01,3.9282e+00,2.9381e+00,4.5008e+00,5.5826e+00,2.9366e+01
1.2000e+01,1.0000e+00,2.9056e+00,-1.2490e+05,-1.2491e+05,-2.9963e-02,-1.2491e+05,1.2948e-01,6.7146e+00,1.1784e+05,3.2773e+01,3.5539e-01,-1.5836e+00,-3.0256e-02,2.7445e+00,4.0684e+00,5.3177e+00,4.4209e+00,2.9320e+01
1.3000e+01,1.0000e+00,3.1401e+00,-1.2483e+05,-1.2484e+05,-3.2459e-02,-1.2484e+05,1.2951e-01,6.7171e+00,1.1742e+05,3.5309e+01,-5.8994e-02,-1.6075e+00,1.2733e+00,2.1653e+00,1.2635e+00,4.0112e+00,5.6300e+00,2.9427e+01
1.4000e+01,1.0000e+00,3.3735e+00,-1.2386e+05,-1.2387e+05,-3.4956e-02,-1.2387e+05,1.2953e-01,6.7196e+00,1.1735e+05,3.7586e+01,-7.3454e-01,-1.3687e+00,-9.7422e-02,4.5577e-01,4.0445e+00,5.0232e+00,4.3727e+00,2.8630e+01
1.5000e+01,1.0000e+00,3.6058e+00,-1.2363e+05,-1.2364e+05,-3.7453e-02,-1.2364e+05,1.2955e-01,6.7221e+00,1.1638e+05,4.0208e+01,4.4875e-01,-1.7793e+00,-9.3833e-01,2.3212e+00,9.1837e-01,5.1862e+00,3.1600e+00,2.8774e+01
1.6000e+01,1.0000e+00,3.8369e+00,-1.2321e+05,-1.2321e+05,-3.9950e-02,-1.2321e+05,1.2958e-01,6.7246e+00,1.1615e+05,4.2735e+01,-8.6234e-02,-1.0700e+00,7.0908e-01,7.4074e-01,2.2379e+00,5.0820e+00,4.5430e+00,2.8326e+01
1.7000e+01,1.0000e+00,4.0670e+00,-1.2281e+05,-1.2282e+05,-4.2447e-02,-1.2282e+05,1.2960e-01,6.7271e+00,1.1573e+05,4.5445e+01,-4.3809e-01,-1.9054e+00,6.5892e-01,2.8245e+00,3.5342e+00,2.1604e+00,5.3087e+00,2.8115e+01
1.8000e+01,1.0000e+00,4.2959e+00,-1.2277e+05,-1.2278e+05,-4.4944e-02,-1.2278e+05,1.2963e-01,6.7296e+00,1.1533e+05,4.7855e+01,-8.5578e-01,-7.7099e-01,1.4615e+00,3.0802e+00,7.7065e-01,5.2709e+00,5.3886e+00,3.0522e+01
1.9000e+01,1.0000e+00,4.5238e+00,-1.2273e+05,-1.2273e+05,-4.7441e-02,-1.2273e+05,1.2965e-01,6.7321e+00,1.1529e+05,5.0390e+01,-3.7174e-01,-1.1661e+00,4.8486e-01,6.6565e-01,2.4545e+00,3.1547e+00,5.4561e+00,2.9393e+01
2.0000e+01,1.0000e+00,4.7506e+00,-1.2266e+05,-1.2267e+05,-4.9938e-02,-1.2267e+05,1.2967e-01,6.7345e+00,1.1524e+05,5.3201e+01,-3.6660e-01,-5.5921e-01,4.5703e-01,3.7185e+00,3.7348e+00,3.6053e+00,5.6205e+00,2.9589e+01
2.1000e+01,1.0000e+00,4.9763e+00,-1.2263e+05,-1.2264e+05,-5.2434e-02,-1.2264e+05,1.2970e-01,6.7370e+00,1.1518e+05,5.5788e+01,4.0289e-01,-7.8436e-01,-3.0355e-01,2.2949e+00,4.0762e+00,5.2523e+00,2.1274e+00,2.9270e+01
2.2000e+01,1.0000e+00,5.2009e+00,-1.2257e+05,-1.2258e+05,-5.4931e-02,-1.2258e+05,1.2972e-01,6.7395e+00,1.1515e+05,5.8422e+01,-8.6043e-01,-1.2291e+00,-2.6725e-01,1.8667e+00,1.5702e+00,1.4249e+00,5.4083e+00,2.9496e+01
2.3000e+01,1.0000e+00,5.4245e+00,-1.2238e+05,-1.2238e+05,-5.7428e-02,-1.2238e+05,1.2975e-01,6.7420e+00,1.1509e+05,6.0797e+01,1.7782e-01,-1.8480e+00,5.5483e-01,2.9152e+00,5.1184e-01,5.0957e+00,3.6981e+00,2.8279e+01
2.4000e+01,2.0000e+00,5.6338e+00,-1.2227e+05,-1.2228e+05,-5.9925e-02,-1.2228e+05,1.2977e-01,6.7445e+00,1.1490e+05,6.6435e+01,7.2491e-02,-9.1386e-01,-9.8221e-01,1.0889e+00,2.7841e+00,5.1061e+00,3.2132e+00,2.8480e+01
2.5000e+01,2.0000e+00,5.8411e+00,-1.2215e+05,-1.2216e+05,-6.2422e-02,-1.2216e+05,1.2979e-01,6.7470e+00,1.1479e+05,7.1255e+01,-8.9826e-01,-1.8475e+00,1.4099e+00,7.5392e-01,3.9814e+00,5.3710e+00,4.9921e+00,3.0901e+01
2.6000e+01,1.0000e+00,6.0606e+00,-1.2192e+05,-1.2192e+05,-6.4919e-02,-1.2192e+05,1.2982e-01,6.7495e+00,1.1467e+05,7.3782e+01,-9.4275e-01,-1.5514e+00,4.3014e-01,2.4323e+00,5.7000e-01,5.0611e+00,2.8127e+00,2.8550e+01
